Date,Open,High,Low,Close,Volume,Ticker
,ZO=F,ZO=F,ZO=F,ZO=F,ZO=F,
1999-09-14,127.5,127.5,127.25,127.25,2,ZO
1999-09-15,127.5,127.5,127.25,127.0,2,ZO
1999-09-16,127.5,127.5,127.25,125.0,2,ZO
1999-09-17,127.5,127.5,127.25,124.5,2,ZO
1999-09-20,127.5,127.5,127.25,124.5,2,ZO
1999-09-21,127.5,127.5,127.25,124.5,2,ZO
1999-09-22,127.5,127.5,127.25,125.5,0,ZO
1999-09-23,125.5,125.5,125.5,125.5,2,ZO
1999-09-24,125.5,125.5,125.5,125.5,2,ZO
1999-09-27,125.5,125.5,125.5,125.5,0,ZO
1999-09-28,126.0,126.0,126.0,126.0,2,ZO
1999-09-29,127.0,127.0,127.0,127.0,11,ZO
1999-09-30,127.0,127.0,127.0,127.0,11,ZO
1999-10-01,127.0,127.0,127.0,127.0,11,ZO
1999-10-04,127.0,127.0,127.0,127.0,70,ZO
1999-10-05,127.0,127.0,126.5,127.0,70,ZO
1999-10-06,126.5,127.75,126.0,126.0,30,ZO
1999-10-07,127.0,127.0,127.0,127.0,30,ZO
1999-10-08,127.0,127.0,127.0,127.0,30,ZO
1999-10-11,127.0,127.0,127.0,127.0,30,ZO
1999-10-12,127.0,127.0,127.0,127.0,30,ZO
1999-10-13,127.0,127.0,127.0,127.0,30,ZO
1999-10-14,127.0,127.0,127.0,127.0,30,ZO
1999-10-15,127.5,128.0,127.5,128.0,3,ZO
1999-10-18,128.0,128.0,128.0,128.0,3,ZO
1999-10-19,128.0,128.0,128.0,128.0,3,ZO
1999-10-20,127.75,127.75,127.75,127.75,3,ZO
1999-10-21,126.0,126.0,126.0,126.0,1,ZO
1999-10-22,126.0,126.0,126.0,126.0,1,ZO
1999-10-25,128.0,128.0,128.0,128.0,1,ZO
1999-10-26,128.0,128.0,128.0,128.0,1,ZO
1999-10-27,128.0,128.0,128.0,128.0,0,ZO
1999-10-28,128.5,128.5,128.5,128.5,1,ZO
1999-10-29,128.0,128.0,128.0,128.5,1,ZO
1999-11-01,128.0,128.0,128.0,128.75,1,ZO
1999-11-02,130.0,130.0,130.0,130.0,1,ZO
1999-11-03,130.0,130.0,129.5,129.5,10,ZO
1999-11-04,127.0,127.0,127.0,127.0,10,ZO
1999-11-05,125.0,125.0,125.0,125.0,1,ZO
1999-11-08,125.0,125.0,125.0,125.0,1,ZO
1999-11-09,124.0,124.0,124.0,124.0,1,ZO
1999-11-10,123.0,123.0,123.0,123.0,1,ZO
1999-11-11,124.0,124.0,124.0,124.0,1,ZO
1999-11-12,124.5,124.5,124.5,124.5,1,ZO
1999-11-15,125.0,125.0,125.0,125.0,1,ZO
1999-11-16,125.0,125.0,125.0,125.0,1,ZO
1999-11-17,124.5,124.5,124.5,124.5,1,ZO
1999-11-18,124.5,124.5,124.5,123.5,1,ZO
1999-11-19,123.5,123.5,123.5,123.5,1,ZO
1999-11-22,124.0,124.0,124.0,124.0,1,ZO
1999-11-23,122.5,123.0,122.5,123.0,2,ZO
1999-11-24,123.0,123.0,122.0,122.0,3,ZO
1999-11-26,120.0,120.0,120.0,120.0,40,ZO
1999-11-29,120.0,123.0,119.75,119.75,75,ZO
1999-11-30,120.0,120.0,119.75,120.0,119,ZO
1999-12-01,120.0,120.0,119.75,119.75,45,ZO
1999-12-02,119.75,120.5,119.75,120.5,294,ZO
1999-12-03,119.75,120.5,119.75,120.25,294,ZO
1999-12-06,122.0,122.0,121.5,121.5,22,ZO
1999-12-07,121.0,121.0,120.5,120.75,27,ZO
1999-12-08,120.0,120.0,119.75,119.75,119,ZO
1999-12-09,119.75,119.75,119.5,119.75,60,ZO
1999-12-10,119.5,119.75,119.5,119.5,90,ZO
1999-12-13,119.25,119.25,118.0,118.75,45,ZO
1999-12-14,118.25,118.25,117.5,118.25,2,ZO
1999-12-15,117.0,117.0,117.0,117.0,1,ZO
1999-12-16,118.0,118.0,115.75,116.0,22,ZO
1999-12-17,115.5,115.5,115.5,115.5,22,ZO
1999-12-20,116.5,116.5,116.0,116.0,2,ZO
1999-12-21,116.5,116.5,116.0,116.0,2,ZO
1999-12-22,116.5,116.5,116.0,115.75,2,ZO
1999-12-23,116.5,116.5,116.0,115.75,2,ZO
1999-12-27,116.5,116.5,116.5,116.5,2,ZO
1999-12-28,116.5,116.5,116.5,116.5,2,ZO
1999-12-29,116.25,116.25,116.25,116.25,2,ZO
1999-12-30,117.25,117.25,117.0,117.0,3,ZO
2000-01-03,117.25,117.5,116.75,116.75,2,ZO
2000-01-04,117.0,117.0,117.0,117.0,12,ZO
2000-01-05,117.25,117.5,116.75,116.75,6,ZO
2000-01-06,117.25,117.5,116.75,117.0,6,ZO
2000-01-07,117.25,117.5,116.75,117.25,6,ZO
2000-01-10,118.0,118.0,118.0,118.0,10,ZO
2000-01-11,118.0,118.25,116.75,117.0,12,ZO
2000-01-12,118.5,118.5,118.5,119.0,12,ZO
2000-01-13,117.5,120.5,117.5,120.5,41,ZO
2000-01-14,120.25,120.25,120.0,120.0,16,ZO
2000-01-18,119.75,120.25,119.75,120.25,52,ZO
2000-01-19,121.5,122.0,121.0,122.0,7,ZO
2000-01-20,122.5,122.75,122.0,122.0,67,ZO
2000-01-21,121.75,121.75,121.0,121.0,13,ZO
2000-01-24,122.0,122.0,121.5,121.5,7,ZO
2000-01-25,122.0,122.5,122.0,122.5,11,ZO
2000-01-26,122.0,122.5,122.0,121.25,66,ZO
2000-01-27,120.5,122.0,120.5,121.5,63,ZO
2000-01-28,121.75,121.75,120.75,121.25,49,ZO
2000-01-31,120.0,120.0,120.0,120.0,1,ZO
2000-02-01,120.0,120.0,118.5,119.25,14,ZO
2000-02-02,118.75,118.75,118.75,118.75,1,ZO
2000-02-03,118.0,118.0,118.0,118.0,10,ZO
2000-02-04,117.0,117.5,117.0,117.5,13,ZO
2000-02-07,119.25,119.25,118.75,118.75,16,ZO
2000-02-08,118.25,118.25,117.5,117.5,15,ZO
2000-02-09,117.5,117.5,117.0,117.0,31,ZO
2000-02-10,117.5,119.0,117.5,118.0,20,ZO
2000-02-11,119.0,119.0,118.0,118.0,15,ZO
2000-02-14,119.0,119.0,119.0,119.0,13,ZO
2000-02-15,119.0,119.0,119.0,119.0,13,ZO
2000-02-16,119.0,119.0,118.25,118.25,26,ZO
2000-02-17,118.0,118.0,117.5,117.5,9,ZO
2000-02-18,118.25,119.0,118.25,119.0,37,ZO
2000-02-22,119.0,119.0,118.5,118.75,106,ZO
2000-02-23,117.5,117.75,117.25,117.5,120,ZO
2000-02-24,117.0,117.75,117.0,117.75,166,ZO
2000-02-25,118.25,118.25,117.0,117.0,85,ZO
2000-02-28,117.5,117.75,116.75,116.75,56,ZO
2000-02-29,117.25,119.5,117.25,119.5,74,ZO
2000-03-01,119.5,120.25,119.0,119.0,286,ZO
2000-03-02,119.0,119.5,119.0,119.0,12,ZO
2000-03-03,119.5,120.0,119.5,119.5,34,ZO
2000-03-06,119.25,120.25,119.25,120.0,78,ZO
2000-03-07,120.5,120.5,118.0,118.0,63,ZO
2000-03-08,118.5,118.5,118.5,118.5,48,ZO
2000-03-09,118.75,118.75,118.5,118.5,6,ZO
2000-03-10,118.5,118.5,118.0,118.0,47,ZO
2000-03-13,119.25,120.5,119.0,120.0,55,ZO
2000-03-14,121.0,121.5,120.5,121.5,88,ZO
2000-03-15,121.5,122.0,121.25,121.25,20,ZO
2000-03-16,121.0,123.25,121.0,121.75,43,ZO
2000-03-17,123.75,123.75,122.5,123.25,26,ZO
2000-03-20,122.5,122.5,122.25,122.25,28,ZO
2000-03-21,122.25,123.0,122.0,122.0,106,ZO
2000-03-22,124.25,124.25,122.0,122.5,146,ZO
2000-03-23,121.75,121.75,120.75,120.75,38,ZO
2000-03-24,122.0,122.0,121.5,121.5,10,ZO
2000-03-27,122.75,122.75,121.5,121.5,26,ZO
2000-03-28,122.0,122.0,119.75,119.75,152,ZO
2000-03-29,119.25,119.75,119.0,119.5,49,ZO
2000-03-30,120.0,121.5,118.0,121.5,11,ZO
2000-03-31,122.0,123.0,122.0,122.25,135,ZO
2000-04-03,124.0,124.5,123.0,123.0,66,ZO
2000-04-04,123.0,123.0,122.25,122.25,71,ZO
2000-04-05,123.25,123.25,122.5,122.5,31,ZO
2000-04-06,121.5,121.75,121.0,121.0,89,ZO
2000-04-07,121.0,121.75,120.75,121.5,80,ZO
2000-04-10,121.5,122.0,121.5,121.75,9,ZO
2000-04-11,121.75,121.75,119.5,120.0,79,ZO
2000-04-12,120.5,121.0,120.5,120.5,58,ZO
2000-04-13,121.25,123.0,121.0,122.0,59,ZO
2000-04-14,123.75,123.75,121.5,122.5,145,ZO
2000-04-17,121.25,121.5,120.25,120.5,34,ZO
2000-04-18,120.75,121.25,120.5,121.0,28,ZO
2000-04-19,121.5,123.0,121.5,122.75,73,ZO
2000-04-20,123.0,125.25,123.0,124.0,159,ZO
2000-04-24,124.0,125.0,123.75,125.0,71,ZO
2000-04-25,125.5,126.0,125.5,126.0,201,ZO
2000-04-26,126.5,126.5,125.0,125.0,141,ZO
2000-04-27,125.0,125.75,124.0,124.0,81,ZO
2000-04-28,125.25,126.0,123.75,124.0,139,ZO
2000-05-01,126.75,129.25,126.75,128.5,146,ZO
2000-05-02,129.0,130.0,128.5,129.5,206,ZO
2000-05-03,130.25,132.5,130.0,131.75,246,ZO
2000-05-04,130.5,131.25,130.0,130.25,155,ZO
2000-05-05,129.25,129.25,127.75,128.0,145,ZO
2000-05-08,125.75,127.25,125.75,126.5,136,ZO
2000-05-09,123.5,125.5,123.5,124.0,153,ZO
2000-05-10,124.5,127.0,124.5,126.5,144,ZO
2000-05-11,127.25,127.5,126.5,127.0,116,ZO
2000-05-12,125.25,126.75,125.25,126.25,165,ZO
2000-05-15,125.5,125.5,123.0,124.5,153,ZO
2000-05-16,124.0,125.5,123.75,123.75,88,ZO
2000-05-17,123.25,125.5,122.75,123.75,105,ZO
2000-05-18,126.0,127.0,125.0,125.0,105,ZO
2000-05-19,125.75,127.0,125.75,126.5,51,ZO
2000-05-22,126.0,128.0,126.0,127.25,62,ZO
2000-05-23,127.25,127.5,126.5,126.5,91,ZO
2000-05-24,126.25,126.5,124.75,125.0,364,ZO
2000-05-25,124.0,125.0,121.0,121.0,700,ZO
2000-05-26,121.0,122.5,121.0,122.0,129,ZO
2000-05-30,120.5,120.5,118.75,119.0,355,ZO
2000-05-31,119.0,119.0,119.0,119.0,138,ZO
2000-06-01,120.5,120.5,118.75,118.75,189,ZO
2000-06-02,119.0,120.0,118.75,119.0,469,ZO
2000-06-05,119.0,120.25,119.0,119.0,248,ZO
2000-06-06,119.75,119.75,119.25,119.75,332,ZO
2000-06-07,119.25,119.25,117.0,117.25,606,ZO
2000-06-08,117.5,118.75,117.0,117.5,141,ZO
2000-06-09,117.75,119.25,116.75,116.75,471,ZO
2000-06-12,112.5,113.0,112.0,112.0,806,ZO
2000-06-13,113.25,113.25,112.0,112.0,494,ZO
2000-06-14,112.0,112.0,110.75,111.0,1055,ZO
2000-06-15,111.5,113.25,111.5,112.25,461,ZO
2000-06-16,113.0,115.0,113.0,114.5,554,ZO
2000-06-19,114.0,114.0,113.25,113.75,415,ZO
2000-06-20,113.0,113.25,112.25,112.5,1207,ZO
2000-06-21,113.25,115.25,112.25,114.25,570,ZO
2000-06-22,115.75,116.0,114.25,114.25,1469,ZO
2000-06-23,113.5,113.5,110.5,111.0,1189,ZO
2000-06-26,108.75,109.5,108.5,108.75,1068,ZO
2000-06-27,109.75,110.5,109.5,109.5,839,ZO
