,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,197299,82495,20101,81241,147690,073732,COCOA - ICE FUTURES U.S.,2902.0,0.3367933947967298,-66449,,62394,,,,,0.03066850447966929,
2015-01-13,209171,89168,22655,79662,153876,073732,COCOA - ICE FUTURES U.S.,2991.0,0.35480061767644655,-74214,-3.93565096629988,66513,2.087694311679228,0.033249406948762085,0.08251433068331201,0.03066850447966929,-0.0220661985957874,
2015-01-20,207704,89012,20802,78158,151659,073732,COCOA - ICE FUTURES U.S.,2925.0,0.35387378192042523,-73501,0.3408694321870622,68210,0.8112979332699083,0.01619114338800002,0.018294570819749757,-0.0220661985957874,-0.06222222222222218,
2015-01-27,189249,68778,16204,88032,140458,073732,COCOA - ICE FUTURES U.S.,2743.0,0.27702127884427397,-52426,10.146651003350922,52574,-7.528020644763703,0.09223598406932469,0.2922030547645384,-0.06222222222222218,-0.018957345971563955,
2015-02-03,195184,65457,23317,93762,135168,073732,COCOA - ICE FUTURES U.S.,2691.0,0.21213829002377244,-41406,5.823016237866514,42140,-5.513371272767623,0.048136985104617135,0.1175344132290986,-0.018957345971563955,0.06391675956893339,
2015-02-10,184374,59433,20261,89746,130101,073732,COCOA - ICE FUTURES U.S.,2863.0,0.21887576339397094,-40355,0.5384662677268628,39172,-1.5206164439708172,0.04131509640795644,0.11393580445202901,0.06391675956893339,0.04435906391896616,
2015-02-17,185820,61745,14977,87988,136555,073732,COCOA - ICE FUTURES U.S.,2990.0,0.26136583790765255,-48567,-4.453990258930219,46768,4.119886751928146,0.036572059694579655,0.09900680378509423,0.04435906391896616,0.03076923076923066,
2015-02-24,200520,75094,17962,90048,152394,073732,COCOA - ICE FUTURES U.S.,3082.0,0.3109216038300419,-62346,-7.415240555376171,57132,5.577440533849963,0.07382796710140982,0.17552871389270977,0.03076923076923066,0.005840363400389403,
2015-03-03,215131,83535,24667,92751,157323,073732,COCOA - ICE FUTURES U.S.,3100.0,0.3001520004090531,-64572,-1.1101137043686415,58868,0.8657490524635946,0.03051896638594976,0.13997892830077077,0.005840363400389403,-0.03903225806451616,
2015-03-10,212400,83396,22304,89825,155139,073732,COCOA - ICE FUTURES U.S.,2979.0,0.30750470809792846,-65314,-0.3449061269645007,61092,1.0337887147830858,0.02086020803056776,0.023670766319772944,-0.03903225806451616,-0.06411547499160797,
2015-03-17,208504,72711,22300,100541,151487,073732,COCOA - ICE FUTURES U.S.,2788.0,0.2443406361508652,-50946,6.764595103578154,50411,-5.028719397363465,0.057009538622692715,0.11250276283798719,-0.06411547499160797,-0.0017934002869440802,
2015-03-24,209278,65616,28987,106629,145559,073732,COCOA - ICE FUTURES U.S.,2783.0,0.18602050860577796,-38930,5.762958984000307,36629,-6.6099451329470895,0.04764699351277618,0.1456824836421678,-0.0017934002869440802,-0.030183255479698134,
2015-03-31,216001,64335,32494,112594,147485,073732,COCOA - ICE FUTURES U.S.,2699.0,0.1615316595756501,-34891,1.929968749701354,31841,-2.287865900859144,0.03034078107036708,0.049447995951626064,-0.030183255479698134,0.031863653204890596,
2015-04-07,214176,59880,33898,114987,143424,073732,COCOA - ICE FUTURES U.S.,2785.0,0.1327739802779023,-28437,2.9879491298651395,25982,-2.7124874421877676,0.02497571697799242,0.06247734010108981,0.031863653204890596,0.022621184919209947,
2015-04-14,202022,64518,34936,105885,139279,073732,COCOA - ICE FUTURES U.S.,2848.0,0.16529882884042332,-33394,-2.3144516659196173,29582,1.6808606006275213,0.05403321858021569,0.05707161099603837,0.022621184919209947,-0.026334269662921295,
2015-04-21,186384,60740,25916,97520,133847,073732,COCOA - ICE FUTURES U.S.,2773.0,0.1949040690187999,-36327,-1.4518220787834988,34824,2.5947669065745314,0.059632531864959135,0.14768740768094535,-0.026334269662921295,0.05445366029570864,
2015-04-28,193087,63985,26696,96355,138019,073732,COCOA - ICE FUTURES U.S.,2924.0,0.21577837969412753,-41664,-2.863443214009786,37289,1.3225384153146194,0.02277129715753454,0.04438636539076543,0.05445366029570864,0.004103967168262557,
2015-05-05,195453,63716,27993,97999,139086,073732,COCOA - ICE FUTURES U.S.,2936.0,0.21021422029848608,-41087,0.2988290252580443,35723,-0.8110333683779851,0.011434717506379569,0.017075750471600388,0.004103967168262557,0.0156675749318802,
2015-05-12,200173,69152,26919,96667,145383,073732,COCOA - ICE FUTURES U.S.,2982.0,0.2433694853951332,-48716,-3.903240165154794,42233,3.330724010375896,0.031518281346829165,0.06776238407011481,0.0156675749318802,0.05466130114017442,
2015-05-19,214859,83768,30628,95407,155721,073732,COCOA - ICE FUTURES U.S.,3145.0,0.28071432893199727,-60314,-5.7939882002068215,53140,5.448786799418503,0.0461836195087764,0.16018916745340747,0.05466130114017442,0.0015898251192367763,
2015-05-26,221934,88871,29749,94003,161406,073732,COCOA - ICE FUTURES U.S.,3150.0,0.303707408508836,-67403,-3.299373077227391,59122,2.7841514667758855,0.027755482383157993,0.05042994436014163,0.0015898251192367763,-0.01206349206349211,
2015-06-02,224336,90064,29518,94030,163696,073732,COCOA - ICE FUTURES U.S.,3112.0,0.3105431139005777,-69666,-1.0196725152522823,60546,0.6416321969594564,0.008990167852680754,0.011908146711043469,-0.01206349206349211,-0.0016066838046272514,
2015-06-09,210891,90298,25613,88582,161060,073732,COCOA - ICE FUTURES U.S.,3107.0,0.3436751686890384,-72478,-1.2534769274659439,64685,1.8450003566079454,0.03238237155606829,0.03570843146897188,-0.0016066838046272514,0.04087544254908271,
2015-06-16,209843,94536,29314,85134,159775,073732,COCOA - ICE FUTURES U.S.,3234.0,0.35569926087598824,-74641,-1.0256483206964735,65222,0.25463391040869454,0.01932554540666125,0.06410173597093258,0.04087544254908271,0.008658008658008587,
2015-06-23,215213,98167,30783,84887,162609,073732,COCOA - ICE FUTURES U.S.,3262.0,0.3611398939655132,-77722,-1.4682405417383473,67384,1.030294077000424,0.012448686039370334,0.039550213260953856,0.008658008658008587,0.003985285101165026,
2015-06-30,219185,97996,27933,85190,165970,073732,COCOA - ICE FUTURES U.S.,3275.0,0.3685471177315966,-80780,-1.4209178813547507,70063,1.2448132780082988,0.014588310240484154,0.023989708486528122,0.003985285101165026,-0.005496183206106897,0.2696809745138849
2015-07-07,217524,98269,25281,84695,166277,073732,COCOA - ICE FUTURES U.S.,3257.0,0.37504827053566503,-81582,-0.3659009512512261,72988,1.3344891301868285,0.0031955756020591937,0.02367462565762849,-0.005496183206106897,0.036843721215842784,0.27358346695913605
2015-07-14,224273,100670,28356,81339,164622,073732,COCOA - ICE FUTURES U.S.,3377.0,0.37134652856117323,-83283,-0.781982677773487,72314,-0.3098508670307644,0.02037314858859738,0.04244105839133198,0.036843721215842784,-0.01214095350903166,0.2770750048734945
2015-07-21,226233,101672,28119,80456,163291,073732,COCOA - ICE FUTURES U.S.,3336.0,0.36614905871380393,-82835,0.19975654670869877,73553,0.5524516994912451,0.009083188716168814,0.009546116448752225,-0.01214095350903166,-0.03956834532374098,0.2801465239714362
2015-07-28,214402,94117,22223,77821,155348,073732,COCOA - ICE FUTURES U.S.,3204.0,0.36159644033171334,-77527,2.3462536411575674,71894,-0.7333147684024877,0.045366236506568194,0.1156180161595324,-0.03956834532374098,-0.01217228464419473,0.28286152118344543
2015-08-04,210376,91296,22725,75312,149069,073732,COCOA - ICE FUTURES U.S.,3165.0,0.35059607559797695,-73757,1.758379119597765,68571,-1.5498922584677381,0.03916552649288487,0.02914375422071373,-0.01217228464419473,-0.026224328593996815,0.28504650680972066
2015-08-11,181077,72531,23192,78910,133435,073732,COCOA - ICE FUTURES U.S.,3082.0,0.3011149952782518,-54525,9.141727193215957,49339,-9.141727193215957,0.09056959193764864,0.20091305119981615,-0.026224328593996815,0.0009733939000649006,0.2855486470743623
2015-08-18,175480,68450,23717,79044,129397,073732,COCOA - ICE FUTURES U.S.,3085.0,0.28694438112605425,-50353,2.3039922243023687,44733,-2.5436692677700647,0.020015256115639438,0.049974502804691484,0.0009733939000649006,0.009076175040518608,0.28559094204562563
