,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,1505101,440821,172021,490464,770342,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",47.93000030517578,0.18595296926917196,-279878,,268800,,,,,-0.042562088515301966,,
2015-01-13,1627535,485464,209984,524442,808229,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",45.88999938964844,0.17436614266359862,-283787,-0.2597167897702546,275480,0.4438240357291637,0.053925537510758466,0.118780987219749,-0.042562088515301966,0.010895620105690895,,
2015-01-20,1591022,480508,199239,523019,809270,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",46.38999938964844,0.1799164310738632,-286251,-0.15139459366465235,281269,0.3556912754564418,0.0018494485806007555,0.023098299808605262,0.010895620105690895,-0.0034490159413067545,,-0.01595991885542085
2015-01-27,1668047,496281,222010,568519,855154,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",46.22999954223633,0.17183868320257162,-286635,-0.024135429931201453,274271,-0.4398430694233015,0.06418889730998621,0.05366070297414279,-0.0034490159413067545,0.1475232481582307,,-0.01177420616782643
2015-02-03,1721471,488256,216060,606100,879692,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",53.04999923706055,0.158929194857189,-273592,0.7819324035833523,272196,-0.12439697442578057,0.04180867846912623,0.019841945944717995,0.1475232481582307,-0.057115906180449594,,0.027714326466541626
2015-02-10,1717593,478989,207462,601733,875752,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",50.02000045776367,0.1595366306220391,-274019,-0.02480436789234323,271527,-0.03886211269315603,0.005622392105503609,0.02602516421419737,-0.057115906180449594,0.0701718970294094,,0.024169047784031495
2015-02-17,1689966,478741,179351,580414,877046,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",53.529998779296875,0.1755254247718593,-296632,-1.3165517092815353,299390,1.62221201413839,0.01551534862020227,0.04309275906712132,0.0701718970294094,-0.0793947337365477,,0.03853062487257956
2015-02-24,1695437,490905,221068,606080,886414,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",49.279998779296875,0.1653461614911082,-280334,0.9643981003168111,269837,-1.7487334064708995,0.02347346119984402,0.0756784316259184,-0.0793947337365477,0.025162372345425732,,0.020092905080781917
2015-03-03,1687908,497948,235659,603558,873958,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",50.52000045776367,0.16019830464693574,-270400,0.5859256345119283,262289,-0.4451949556368063,0.01013728446933908,0.02948990399491826,0.025162372345425732,-0.0441409248224508,,-0.01034744325375715
2015-03-10,1670894,495142,234483,566050,829530,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",48.290000915527344,0.15768804005520398,-263480,0.40997495124141836,260659,-0.0965692442953052,0.058711073532151506,0.005457598081206099,-0.0441409248224508,-0.10002074424276164,,-0.007075318433886501
2015-03-17,1760721,516956,273468,592777,843911,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",43.459999084472656,0.14263134250116855,-251134,0.7388858898290376,243488,-1.027653459764653,0.02861303219627365,0.07691947612926733,-0.10002074424276164,0.09318912384670353,,-0.05087076010361274
