,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CT_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,180431,64644,64404,89287,86341,033661,COTTON NO. 2 - ICE FUTURES U.S.,60.20000076293945,-0.01632757120450477,2946,,240,,,,,-0.0008305521001144012,
2015-01-13,186260,66425,67313,90549,84948,033661,COTTON NO. 2 - ICE FUTURES U.S.,60.150001525878906,-0.030070868678191774,5601,1.4714766309558778,-888,-0.6251697324739097,0.01512846373442281,0.03506856689946014,-0.0008305521001144012,-0.03923525437212494,
2015-01-20,204578,66581,80393,106050,85577,033661,COTTON NO. 2 - ICE FUTURES U.S.,57.790000915527344,-0.10007429928926864,20473,7.984537742939976,-13812,-6.9386878556856,0.0841739420854055,0.09005674473036047,-0.03923525437212494,0.017130954284230393,
2015-01-27,216715,69082,84654,111332,88856,033661,COTTON NO. 2 - ICE FUTURES U.S.,58.779998779296875,-0.10371224880603558,22476,0.9790886605597866,-15572,-0.860307559952683,0.04276480108697824,0.04398449289691419,0.017130954284230393,0.04542364816419475,
2015-02-03,207847,73880,70337,94733,97637,033661,COTTON NO. 2 - ICE FUTURES U.S.,61.45000076293945,0.01397181580681944,-2904,-11.711233647878549,3543,8.820340077982603,0.13193325362582523,0.13254332013562894,0.04542364816419475,0.017249756638457736,
2015-02-10,197547,72227,48478,90609,117304,033661,COTTON NO. 2 - ICE FUTURES U.S.,62.5099983215332,0.13513239887216713,-26695,-11.44640047727415,23749,9.721574042444683,0.1144276692655101,0.19478894826229237,0.017249756638457736,0.020636713328513467,
2015-02-17,180535,75998,41182,74979,114470,033661,COTTON NO. 2 - ICE FUTURES U.S.,63.79999923706055,0.21874428781122773,-39491,-6.477445873640198,34816,5.602211119379186,0.09746158596772746,0.09444444444444444,0.020636713328513467,0.015047067565045813,
2015-02-24,183230,83707,37130,72388,125912,033661,COTTON NO. 2 - ICE FUTURES U.S.,64.76000213623047,0.29211373683348796,-53524,-7.773008003988147,46577,6.514526269144487,0.07076651538073626,0.09732946034741015,0.015047067565045813,-0.01590491908612679,
2015-03-03,185872,87345,33997,72953,132268,033661,COTTON NO. 2 - ICE FUTURES U.S.,63.72999954223633,0.31911745717483,-59315,-3.1605086503301862,53348,3.6953555640451894,0.033724618825558786,0.055800959272139905,-0.01590491908612679,-0.04487683400116971,
2015-03-10,181414,83640,40306,71733,117052,033661,COTTON NO. 2 - ICE FUTURES U.S.,60.869998931884766,0.24980982724596779,-45319,7.529913058448826,43334,-5.38757854867866,0.08706200174802023,0.08079324867280913,-0.04487683400116971,-0.010842777377911061,
