,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,214678,81559,50448,85170,107551,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,78.57499694824219,0.10425381268690784,-22381,,31111,,,,,-0.04327068442298476,,
2015-01-13,210629,77638,50570,82986,101690,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,75.17500305175781,0.0888006874646891,-18704,1.7127977715462226,27068,-1.883285665042529,0.04356278022049427,0.03153469362286285,-0.04327068442298476,-0.04522782025745997,,
2015-01-20,206585,77603,49061,81819,100685,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,71.7750015258789,0.09132318416148316,-18866,-0.0769124859349852,28542,0.6998086683220259,0.011901109016788673,0.012189730310111791,-0.04522782025745997,-0.03274118319974939,,-0.045258124130453804
2015-01-27,202956,75687,52588,81032,95779,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,69.42500305175781,0.07266106939435149,-14747,1.9938524094198513,23099,-2.6347508289566037,0.0321982229612411,0.04243227441044631,-0.03274118319974939,-0.03204906021908038,,-0.04125253436985947
2015-02-03,197570,76515,54018,78496,91275,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,67.19999694824219,0.0646808726021157,-12779,0.9696683024892094,22497,-0.2966160152939553,0.04146762403472914,0.01729830770762949,-0.03204906021908038,-0.08444934047741393,,-0.03907579815977754
2015-02-10,194869,79068,55798,73404,86850,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,61.525001525878906,0.0690002001344493,-13446,-0.33760186263096625,23270,0.3912537328541783,0.05938697318007663,0.03212818649622588,-0.08444934047741393,0.0402275239778751,,-0.049838406974348104
2015-02-17,193982,75847,59198,73075,82337,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,64.0,0.04774669814725078,-9262,2.1470834252754414,16649,-3.397667150752557,0.031155895297660413,0.049028101743863156,0.0402275239778751,0.07148432731628418,,-0.027631266561590866
2015-02-24,190945,73220,58036,75963,81485,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,68.57499694824219,0.02891932231794496,-5522,1.9280139394376796,15184,-0.7552247115711768,0.023753874295005334,0.028867251782775643,0.07148432731628418,-0.043383136806648515,,-0.0011973538927425812
2015-03-03,201534,73078,66276,79848,79123,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,65.5999984741211,-0.003597407881548523,725,3.271622718583885,6802,-4.389745738301605,0.039296475457787895,0.0601489731188197,-0.043383136806648515,0.005716463547601025,,-0.004038299463822316
2015-03-10,204657,75380,65909,76760,78435,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,65.9749984741211,0.008184425648768427,-1675,-1.1908660573402006,9471,1.3243422946004149,0.02433068075646767,0.018890359475967698,0.005716463547601025,-0.06366043266965216,,0.018342045978934577
2015-03-17,206418,77544,71849,77462,75031,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,61.775001525878906,-0.011777073704812565,2431,2.006283684408547,5695,-1.845038283567139,0.026925826103493276,0.05424618288674837,-0.06366043266965216,-0.051396244003777736,,-0.00748866484031362
2015-03-24,212035,73120,76133,81179,68470,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,58.599998474121094,-0.05993821774707006,12709,4.979216928756213,-3013,-4.218624344776134,0.06868071286811138,0.05834388588504084,-0.051396244003777736,0.0652730522617444,,-0.038928826738709954
2015-03-31,216988,69678,79171,87258,69404,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,62.42499923706055,-0.08228104779987834,17854,2.426486193317141,-9493,-3.056099228900889,0.04476516321762776,0.04353405128687462,0.0652730522617444,0.002402907932914422,,-0.011077924466144995
2015-04-07,218609,66473,81527,90170,67183,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,62.57500076293945,-0.10515120603451825,22987,2.3655686028720484,-15054,-2.562814533522591,0.03262092238470191,0.037574324324324324,0.002402907932914422,0.00958846930572399,,-0.011915892214777282
2015-04-14,214806,65158,77880,85343,65419,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,63.17499923706055,-0.09275346126272078,19924,-1.4011317008906312,-12722,1.0667447360355704,0.0437179130019501,0.03469008235573764,0.00958846930572399,0.13335970461109503,,0.006446224751137041
2015-04-21,213764,65241,77679,86271,66713,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,71.5999984741211,-0.09149342265301921,19558,-0.17038630205860172,-12438,0.13221232181596418,0.014524394707943315,0.0019871256647075288,0.13335970461109503,0.03002795491198218,,0.05131652596917119
2015-04-28,221128,65686,75664,87006,72659,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,73.75,-0.06488097391556022,14347,-2.437735072322748,-9978,1.1508018188282405,0.04184386058309586,0.017403608065086663,0.03002795491198218,0.07118644067796609,,0.04291078031033055
2015-05-05,221306,69818,73163,84767,75603,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,79.0,-0.041408728186312166,9164,-2.3438913208639343,-3345,2.9996201295177456,0.032319012284093035,0.046390779194438424,0.07118644067796609,0.02911396268047861,,0.059250164625525445
2015-05-12,215460,73435,68326,77995,73982,054642,LEAN HOGS - CHICAGO MERCANTILE EXCHANGE,81.30000305175781,-0.018625266870880907,4013,-2.3275464741127667,5109,3.8200500664238657,0.055225461747501266,0.059635583834764146,0.02911396268047861,0.010455085390094876,,0.06384016708298965
