,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HG_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,170037,45928,87193,99196,45205,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.803999900817871,-0.3175250092626899,53991,,-41265,,,,,-0.044579174187395654,
2015-01-13,179459,53398,89221,94170,46356,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.678999900817871,-0.2664341158704774,47814,-3.632738756858801,-35823,3.200479895552145,0.04395627855343495,0.0665970172277186,-0.044579174187395654,-0.02370284802973155,
2015-01-20,172846,46328,83113,94261,44335,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.615499973297119,-0.2888467190446988,49926,1.1768704829515375,-36785,-0.5360555892989485,0.015238535022655776,0.10180700087298461,-0.02370284802973155,-0.03899827915657328,
2015-01-27,179152,46610,87272,96833,44280,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.513499975204468,-0.2933430829686523,52553,1.5198500399199286,-40662,-2.243037154461197,0.018616286238688145,0.033171001329528986,-0.03899827915657328,0.034414135779358146,
2015-02-03,180944,46923,87221,98677,45864,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.5999999046325684,-0.29187483420284727,52813,0.14512815932839152,-40298,0.20317942305974815,0.02371645415487647,0.0027135019083969467,0.034414135779358146,-0.014423040772329476,
2015-02-10,185606,45443,87427,97124,46414,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.5625,-0.2732131504369471,50710,-1.1622380404987178,-41984,-0.931779998231497,0.01465117251180872,0.012689094603748024,-0.014423040772329476,0.012487830185308635,
2015-02-17,185675,44526,82691,97012,48031,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.5945000648498535,-0.2637996499259459,48981,-0.931543161320216,-38165,2.0575843453336637,0.01192060285570486,0.0444358851411368,0.012487830185308635,0.045095340780042736,
2015-02-24,171520,50336,80639,91161,50893,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.7114999294281006,-0.2347714552238806,40268,-4.692608051703244,-30303,4.234280328531035,0.061335830036465006,0.06002672265699561,0.045095340780042736,-0.014014335010865908,
2015-03-03,163020,51043,73854,87470,55536,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.673500061035156,-0.19589007483744325,31934,-4.858908582089552,-22811,4.368003731343284,0.0582772750793673,0.05998542799266596,-0.014014335010865908,-0.014400624534488315,
2015-03-10,164239,53309,74837,88084,55730,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC.,2.634999990463257,-0.19699340595108347,32354,0.25763709974236293,-21528,0.7870199975463134,0.005618368169997358,0.025353893215551013,-0.014400624534488315,0.0024667953493628936,
