,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HO_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,359244,62178,86465,190168,166416,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.726199984550476,-0.06611662268541715,23752,,-24287,,,,,-0.0539914083954085,,
2015-01-13,373833,67320,96043,194294,166134,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.6330000162124634,-0.07532775330160793,28160,1.227021188941221,-28723,-1.2348153344245136,0.01222990444693531,0.09010608277272088,-0.0539914083954085,-0.0039191604804491575,,
2015-01-20,377479,69672,101341,198419,167793,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.6266000270843506,-0.08113299017958615,30626,0.6596528396369502,-31669,-0.7880524191283274,0.01579413017596365,0.044733441317326754,-0.0039191604804491575,0.02225496540468197,,-0.02938276070883103
2015-01-27,392614,68386,99776,208750,182828,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.6627999544143677,-0.06602413566505524,25922,-1.2461620381531158,-31390,0.07391139639556107,0.06477892016405416,0.01695388970159727,0.02225496540468197,0.11047635898629649,,-0.011956394823299835
2015-02-03,379514,67464,103147,200968,171529,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.846500039100647,-0.07757026091264091,29439,0.8957907766916107,-35683,-1.093440376553052,0.051224573620727146,0.025162504176166837,0.11047635898629649,-0.007473612073676583,,0.018532398228848848
2015-02-10,397329,64159,101190,212779,183731,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.83270001411438,-0.0731081798710892,29048,-0.10302650231612008,-37031,-0.355191112844322,0.06056089379839096,0.031823597360733966,-0.007473612073676583,0.07895450975627227,,0.029883640698356587
2015-02-17,395666,65298,95098,212335,191748,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.9773999452590945,-0.05203125868788321,20587,-2.1294695328053073,-29800,1.8199023982644107,0.020938767530433104,0.04508217162522756,0.07895450975627227,0.02604428250854096,,0.049792571608697066
2015-02-24,368870,67275,92056,198432,185441,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",2.028899908065796,-0.03521836961531163,12991,-1.9198010443151547,-24781,1.2684941339412534,0.052647620436967434,0.031500461303826624,0.02604428250854096,-0.04406325489966112,,0.05069348008955597
2015-03-03,375130,67612,83020,201161,197317,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.9394999742507937,-0.010247114333697651,3844,-2.4797354081383687,-15408,2.541003605606311,0.036651960710503466,0.06222449413139306,-0.04406325489966112,-0.0649651607081998,,0.013276951236467119
2015-03-10,385006,64978,85728,205761,195933,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.8135000467300415,-0.025526874905845622,9828,1.595180337483006,-20750,-1.4240396662490338,0.014896911579460983,0.035446498480485186,-0.0649651607081998,-0.06594985085199312,,-0.001007913610072676
2015-03-17,378817,62193,86661,205647,187683,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.6938999891281128,-0.04742131424936051,17964,2.113213820044363,-24468,-0.9656992358560647,0.021264586988025323,0.02497749472637618,-0.06594985085199312,0.00743849362921023,,-0.03794436386103435
2015-03-24,364661,57338,87832,199981,177114,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.7065000534057615,-0.0627075557846877,22867,1.2942924947930003,-30494,-1.5907417037778135,0.043052811625717655,0.041509953847213614,0.00743849362921023,0.0066803305027678395,,-0.042787407186983935
2015-03-31,364522,59271,88193,196488,172795,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.717900037765503,-0.06499744871365788,23693,0.22651174652622572,-28922,0.431085309369524,0.021154507518623928,0.01555633917430695,0.0066803305027678395,0.03836076995084925,,-0.029633823318320394
2015-04-07,363677,57424,91220,196710,169791,022651,"#2 HEATING OIL, NY HARBOR-ULSD - NEW YORK MERCANTILE EXCHANGE",1.7838000059127808,-0.07401897837916613,26919,0.8849945956622646,-33796,-1.3370935087594165,0.008802158793564002,0.03278975269772073,0.03836076995084925,0.010034751666360586,,-0.003373247198765683
