,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,KC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,163882,48830,17816,88857,120403,083731,COFFEE C - ICE FUTURES U.S.,174.89999389648438,0.1924921589924458,-31546,,31014,,,,,0.01172100127671305,
2015-01-13,166898,51532,13593,85663,123863,083731,COFFEE C - ICE FUTURES U.S.,176.9499969482422,0.22888231135184364,-38200,-4.060238464260871,37939,4.22560134731087,0.03175739526359497,0.10633397312859885,0.01172100127671305,-0.07148908796073328,
2015-01-20,164622,51025,16331,85059,120640,083731,COFFEE C - ICE FUTURES U.S.,164.3000030517578,0.21613757577966494,-35581,1.5692219199750748,34694,-1.9443013097820225,0.01860485466628423,0.04817685135696894,-0.07148908796073328,0.023737028752554457,
2015-01-27,169601,49766,20949,87179,117114,083731,COFFEE C - ICE FUTURES U.S.,168.1999969482422,0.1765024970371637,-29935,3.429675256041113,28817,-3.569996719757991,0.027636776590485235,0.08310825143180373,0.023737028752554457,-0.04429249157795567,
2015-02-03,167838,48908,22994,87433,113192,083731,COFFEE C - ICE FUTURES U.S.,160.75,0.15347537506404985,-25759,2.46224963296207,25914,-1.7116644359408257,0.020814953271028037,0.0403743984868293,-0.04429249157795567,-0.008398171717049041,
2015-02-10,173921,52995,25844,86955,115230,083731,COFFEE C - ICE FUTURES U.S.,159.39999389648438,0.16257381224808964,-28275,-1.4990645741727142,27151,0.737020221880623,0.012444048767218142,0.08798944684737249,-0.008398171717049041,-0.02352572235627115,
2015-02-17,170223,48652,27165,88695,111152,083731,COFFEE C - ICE FUTURES U.S.,155.64999389648438,0.13192694289255857,-22457,3.345196957239206,21487,-3.256651008216374,0.02911227088722873,0.07470620045636203,-0.02352572235627115,-0.06617403274566647,
2015-02-24,173849,46923,33542,95265,108783,083731,COFFEE C - ICE FUTURES U.S.,145.35000610351562,0.0777571340646193,-13518,5.2513467627758885,13381,-4.761988685430288,0.04380831961107191,0.10073945193562418,-0.06617403274566647,-0.13140698521823901,
2015-03-03,184961,48753,44670,100495,105372,083731,COFFEE C - ICE FUTURES U.S.,126.25,0.02636772076275539,-4877,4.97040535177079,4083,-5.3483195186627475,0.04197370146745229,0.13870246085011187,-0.13140698521823901,0.043168292659343965,
2015-03-10,192829,50365,48810,102485,105020,083731,COFFEE C - ICE FUTURES U.S.,131.6999969482422,0.013146362839614373,-2535,1.2662128773092707,1555,-1.366774617351766,0.0112864750246982,0.05799848752205697,0.043168292659343965,0.017084282856014488,
2015-03-17,196301,50114,49830,105001,106197,083731,COFFEE C - ICE FUTURES U.S.,133.9499969482422,0.006092684194171197,-1196,0.6943976269129644,284,-0.6591332216627167,0.01748596104129774,0.01271712158808933,0.017084282856014488,0.02500937797564906,
2015-03-24,198350,48473,50668,106479,105119,083731,COFFEE C - ICE FUTURES U.S.,137.3000030517578,-0.006856566675069322,1360,1.3020820067141787,-2195,-1.2628565315510365,0.012079509258121532,0.0250047911560303,0.02500937797564906,-0.03204667922414228,
2015-03-31,204283,47878,50771,111652,109692,083731,COFFEE C - ICE FUTURES U.S.,132.89999389648438,-0.00959453307421567,1960,0.3024955886059995,-2893,-0.35190320141164605,0.044031010553708255,0.00707559123762025,-0.03204667922414228,0.06809633910748603,
2015-04-07,199144,46694,45254,110958,114372,083731,COFFEE C - ICE FUTURES U.S.,141.9499969482422,0.01714337363917567,-3414,-2.630664323511991,1440,2.1210771331926788,0.023849465228775575,0.07287814851872798,0.06809633910748603,-0.05177873196719063,
2015-04-14,190341,44029,49368,112599,109106,083731,COFFEE C - ICE FUTURES U.S.,134.60000610351562,-0.01835127481730158,3493,3.468344514522155,-5339,-3.4040694171052106,0.031154010960510587,0.07258263113376233,-0.05177873196719063,0.042347672286571436,
2015-04-21,178742,45968,46930,102922,104012,083731,COFFEE C - ICE FUTURES U.S.,140.3000030517578,0.006098175023217823,-1090,-2.4077839246405137,-962,2.2995571106592902,0.07138024684198827,0.04711619195246399,0.042347672286571436,-0.015324369982232189,
2015-04-28,186486,46879,48241,103217,103072,083731,COFFEE C - ICE FUTURES U.S.,138.14999389648438,-0.0007775382602447368,145,0.6909400140985331,-1362,-0.22378623938414027,0.005986746748493618,0.023359966358284273,-0.015324369982232189,-0.04053558517651934,
2015-05-05,190513,46115,49678,103870,101498,083731,COFFEE C - ICE FUTURES U.S.,132.5500030517578,-0.012450593922724433,2372,1.1941915210793304,-3563,-1.180249455723218,0.010843948424292003,0.02297662668462205,-0.04053558517651934,0.014711406287035267,
2015-05-12,188317,44307,49550,102662,98890,083731,COFFEE C - ICE FUTURES U.S.,134.5,-0.020030055703946007,3772,0.7348579886936849,-5243,-0.881829586432422,0.018933079304596333,0.020627124242198237,0.014711406287035267,0.03977699705216087,
2015-05-19,184474,43723,42820,99667,102332,083731,COFFEE C - ICE FUTURES U.S.,139.85000610351562,0.014446480262801263,-2665,-3.418172549477742,903,3.2636458737129415,0.03186649438858608,0.0845129011011867,0.03977699705216087,-0.11297820780975021,
2015-05-26,195178,44016,56830,106006,94911,083731,COFFEE C - ICE FUTURES U.S.,124.0500030517578,-0.05684554611687793,11095,7.459045719179938,-12814,-7.435736201307501,0.06848599172792745,0.1418301172084168,-0.11297820780975021,0.06972989668428564,
2015-06-02,194722,43852,54582,105302,95435,083731,COFFEE C - ICE FUTURES U.S.,132.6999969482422,-0.050672240424810756,9867,-0.6291692711268688,-10730,1.067743290739735,0.006117457170327344,0.02450372838653311,0.06972989668428564,0.0350415166707736,
2015-06-09,189236,42534,42986,100587,100589,083731,COFFEE C - ICE FUTURES U.S.,137.35000610351562,1.0568813544991439e-05,-2,-5.068251147790183,-452,5.278294183502634,0.04905654750069591,0.15100561272217025,0.0350415166707736,-0.05824535598470015,
2015-06-16,180352,41178,45539,97204,94307,083731,COFFEE C - ICE FUTURES U.S.,129.35000610351562,-0.016063032292405962,2897,1.5319495233465092,-4361,-2.0656746073685768,0.05046707499830297,0.04507766643218746,-0.05824535598470015,-0.012756158310135435,
2015-06-23,181352,42610,51019,103209,97017,083731,COFFEE C - ICE FUTURES U.S.,127.6999969482422,-0.03414354404693634,6192,1.8269827892122072,-8409,-2.244499645138396,0.04352581582811423,0.07382328124833118,-0.012756158310135435,0.023100994665159025,
2015-06-30,174382,40846,47123,96655,91934,083731,COFFEE C - ICE FUTURES U.S.,130.64999389648438,-0.027072748334117054,4721,-0.8111297366447572,-6277,1.1756142750011027,0.06170561379507818,0.06434084734395071,0.023100994665159025,-0.05931873503756824,0.045007519203733325
2015-07-07,185414,39329,56243,103409,89948,083731,COFFEE C - ICE FUTURES U.S.,122.9000015258789,-0.07259969581584994,13461,5.011985181956853,-16914,-6.099826816987992,0.04520136328139142,0.11129828820156532,-0.05931873503756824,0.05655007722821925,0.040651696425230234
2015-07-14,182704,39780,53737,102341,90652,083731,COFFEE C - ICE FUTURES U.S.,129.85000610351562,-0.06397780015763202,11689,-0.9556991381449081,-13957,1.5948094534393302,0.009181680164565555,0.03161991937294823,0.05655007722821925,-0.046207218693631535,0.03691492869012802
