,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,KE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,130911,44099,26694,60018,72208,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,631.25,0.0931166976037155,-12190,,17405,,,,,-0.07841584158415837,
2015-01-13,132736,42998,28788,64555,71159,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,581.75,0.049752892960462876,-6604,4.267021105942205,14210,-2.4405894080711326,0.041160086652814,0.044507285543142115,-0.07841584158415837,-0.006875805758487341,
2015-01-20,143695,42276,34791,71175,72217,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,577.75,0.007251470127701033,-1042,4.190272420443588,7485,-5.06644768563163,0.053545525552332066,0.0872617332970013,-0.006875805758487341,-0.04759844223279963,
2015-01-27,153825,44711,41518,77025,73814,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,550.25,-0.02087437022590606,3211,2.9597411183409306,3193,-2.9868819374369324,0.04937052088650813,0.10625195699822565,-0.04759844223279963,0.015901862789641008,
2015-02-03,166438,48345,48642,83966,75591,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,559.0,-0.0503190377197515,8375,3.357061595969446,-297,-2.268811961644726,0.05463878112524051,0.11092208234093229,0.015901862789641008,-0.008944543828264706,
2015-02-10,160200,47702,46882,77735,70926,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,554.0,-0.042503121098626716,6809,-0.9408909023179802,820,0.6711207777070141,0.07329427354854333,0.025405988327835576,-0.008944543828264706,0.014891696750902517,
2015-02-17,156821,48169,48200,76039,70065,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,562.25,-0.03809438786897163,5974,-0.521223470661673,-31,-0.531210986267166,0.01750123199912391,0.018522553933318805,0.014891696750902517,-0.04713205869275239,
2015-02-24,157937,46032,55167,83932,69224,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,535.75,-0.09312574001025725,14708,5.56940715848005,-9135,-5.805344947424134,0.057026822324949725,0.08996136325457761,-0.04713205869275239,-0.009799346710219314,
2015-03-03,164037,47849,61382,86795,66486,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,530.5,-0.12380743368874096,20309,3.546350760113209,-13533,-2.784654640774486,0.0365407323803994,0.07353223901639644,-0.009799346710219314,0.008011310084825585,
2015-03-10,161141,49529,62156,82616,62250,001612,WHEAT-HRW - CHICAGO BOARD OF TRADE,534.75,-0.126386208351692,20366,0.03474825801496004,-12627,0.5523144168693648,0.05808816423453398,0.02197251197564579,0.008011310084825585,0.014960261804581654,
