,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LB_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,4037,1478,2564,1478,323,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,319.70001220703125,-0.28610354223433243,1155,,-1086,,,,,0.0015639661586130948,
2015-01-13,4617,1445,2797,1894,451,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,320.20001220703125,-0.3125406107862248,1443,7.1340104037651715,-1352,-6.589051275699777,0.23198294243070364,0.0627062706270627,0.0015639661586130948,-0.054028787167444636,
2015-01-20,5167,1701,2889,2091,621,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,302.8999938964844,-0.2844977743371395,1470,0.5847953216374269,-1188,3.5520901017977042,0.13532448377581122,0.07581699346405228,-0.054028787167444636,0.02905255360802106,
2015-01-27,5528,1596,3226,2335,665,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,311.70001220703125,-0.3020984081041968,1670,3.870718018192375,-1630,-8.554286820205148,0.096,0.0916632102861883,0.02905255360802106,0.0064164257994048235,
2015-02-03,5574,1471,2959,2212,781,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,313.70001220703125,-0.25672766415500536,1431,-4.3234442836468885,-1488,2.568740955137482,0.07985299031072503,0.08848758465011286,0.0064164257994048235,0.013069733587487642,
2015-02-10,5166,1643,2762,2054,754,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,317.79998779296875,-0.2516453735965931,1300,-2.3501973448152134,-1119,6.620021528525297,0.06588319088319089,0.08376844494892167,0.013069733587487642,-0.03618628206962582,
2015-02-17,4859,1646,2924,1938,506,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,306.29998779296875,-0.2947108458530562,1432,2.5551684088269457,-1278,-3.077816492450639,0.14893617021276595,0.036105032822757115,-0.03618628206962582,-0.03623890312865463,
2015-02-24,5180,1813,3291,2008,238,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,295.20001220703125,-0.3416988416988417,1770,6.956163819715991,-1478,-4.116073266104136,0.15048975957257346,0.10462382445141066,-0.03623890312865463,-0.002710089015801942,
2015-03-03,5558,1713,3581,2398,330,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,294.3999938964844,-0.37207628643396906,2068,5.7528957528957525,-1868,-7.5289575289575295,0.17668621700879766,0.07366830374008311,-0.002710089015801942,-0.03124993845172419,
2015-03-10,5871,1875,3798,2489,361,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,285.20001220703125,-0.36245954692556637,2128,1.0795250089960418,-1923,-0.9895645915797049,0.04280701754385965,0.06680768552793936,-0.03124993845172419,-0.04242638704633728,
2015-03-17,6648,2330,4063,2680,590,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,273.1000061035156,-0.31438026474127556,2090,-0.6472491909385114,-1733,3.2362459546925564,0.12844036697247707,0.11262318160488034,-0.04242638704633728,0.046503044326697385,
2015-03-24,6687,2289,3920,2695,680,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,285.79998779296875,-0.30133094063107524,2015,-1.128158844765343,-1631,1.5342960288808665,0.03111111111111111,0.02963440167498792,0.046503044326697385,-0.026591938105479773,
2015-03-31,7035,2261,3920,2756,911,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,278.20001220703125,-0.2622601279317697,1845,-2.5422461492448036,-1659,-0.41872289516973227,0.07962912462503409,0.004530011325028313,-0.026591938105479773,-0.033429251985891306,
2015-04-07,7311,2333,3944,2874,947,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,268.8999938964844,-0.26357543427711666,1927,1.1656005685856432,-1611,0.6823027718550106,0.04030358544883538,0.015293930221443364,-0.033429251985891306,-0.06805499519651736,
2015-04-14,6803,2358,4046,2581,676,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,250.6000061035156,-0.28002351903571954,1905,-0.3009164273013268,-1688,-1.0532074955546435,0.17316548971446116,0.019831355402873205,-0.06805499519651736,-0.03072630494610018,
2015-04-21,6838,2478,3993,2591,874,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,242.8999938964844,-0.25109681193331385,1717,-2.7634866970454213,-1515,2.542995737174776,0.06002886002886003,0.026734662339669295,-0.03072630494610018,0.03540554269087637,
2015-04-28,6409,2412,3883,2382,798,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,251.5,-0.24715244187860821,1584,-1.9450131617431996,-1471,0.6434630008774496,0.08962264150943396,0.027958697378872122,0.03540554269087637,-0.03777335984095431,
2015-05-05,6448,2322,4099,2343,702,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,242.0,-0.25449751861042186,1641,0.8893743173662036,-1777,-4.774535809018567,0.04433497536945813,0.04765612832892073,-0.03777335984095431,-0.03305785123966942,
2015-05-12,6575,2244,4179,2545,700,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,234.0,-0.28060836501901143,1845,3.163771712158809,-1935,-2.4503722084367245,0.06286594761171033,0.024599096995173594,-0.03305785123966942,0.1217948717948718,
2015-05-19,6511,2127,4113,2624,819,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,262.5,-0.27722316080479187,1805,-0.6083650190114068,-1986,-0.7756653992395437,0.05750798722044728,0.029326923076923077,0.1217948717948718,0.05219052269345248,
2015-05-26,6097,2118,3481,2212,909,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE,276.20001220703125,-0.2137116614728555,1303,-7.710029181385347,-1363,9.568422669328829,0.16084588272989425,0.11448472941596714,0.05219052269345248,-0.03910216449393744,
