,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,272939,114179,52303,102874,153139,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,166.02499389648438,0.1841620288782475,-50265,,61876,,,,,-0.051648831582482346,,
2015-01-13,269814,111195,48538,99345,149968,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,157.4499969482422,0.18762184319568295,-50623,-0.1311648390299664,62657,0.28614452313520605,0.02687384933798077,0.04225175762052926,-0.051648831582482346,-0.027945341262412104,,
2015-01-20,256360,98199,44777,99643,143523,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,153.0500030517578,0.1711655484474957,-43880,2.499129029627818,53422,-3.422728249831365,0.027730028046684157,0.11720148836168308,-0.027945341262412104,-0.001470147657818277,,-0.04061064854543837
2015-01-27,247017,92941,44681,101818,139677,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,152.8249969482422,0.15326475505734424,-37859,2.3486503354657513,48260,-2.013574660633484,0.024932193213110004,0.03890366365842671,-0.001470147657818277,0.00605269471767822,,-0.027393232154603382
2015-02-03,249858,94461,52252,106563,137823,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,153.75,0.1251110630838316,-31260,2.671476052255513,42209,-2.449628972904699,0.027002365110931067,0.06196451575525005,0.00605269471767822,0.03479678766514227,,-0.0189309718733538
2015-02-10,237992,88218,48404,104520,133175,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,159.10000610351562,0.1204032068304817,-28655,1.0425921923652635,39814,-0.9585444532494457,0.028149519342013925,0.07386072521263047,0.03479678766514227,-0.0031426774407203872,,0.002854420628149968
2015-02-17,241511,88629,51848,103366,129237,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,158.60000610351562,0.10712141475957616,-25871,1.1697872197384784,36781,-1.2744125852969848,0.02189137715334712,0.027442214739779466,-0.0031426774407203872,-0.01229515846146001,,0.009018376244158912
2015-02-24,243455,88134,49975,103745,130177,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,156.64999389648438,0.10857037234807254,-26432,-0.23228755626037736,38159,0.5705744251814617,0.0056386316806456855,0.017145877531514964,-0.01229515846146001,-0.035748426829988134,,0.00633281693871918
2015-03-03,243159,89099,53307,102611,127508,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,151.0500030517578,0.10238979433210368,-24897,0.6305066644759812,35792,-0.9722535992277834,0.016526232079923864,0.030174290409111976,-0.035748426829988134,0.024495179566294878,,-0.004105785982320618
2015-03-10,248433,91372,51434,100521,129943,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,154.75,0.11843032125361767,-29422,-1.8609222771931124,39938,1.705057184805004,0.019634302971396834,0.029032393596907694,0.024495179566294878,-0.00759291148147212,,-0.006695133261760087
2015-03-17,259366,92725,50749,100614,131156,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,153.5749969482422,0.11775637516096944,-30542,-0.45082577596374074,41976,0.8203419030483068,0.005634896664796997,0.014204664259726501,-0.00759291148147212,0.05485921028275986,,-0.007815793195128
2015-03-24,271721,102248,48515,102495,143737,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,162.0,0.1517806868074238,-41242,-4.125444352767904,53733,4.532976565933854,0.058733227200363884,0.07798332482107678,0.05485921028275986,-0.004166685504677803,,0.008962975146618438
2015-03-31,278224,107110,50193,105836,151483,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,161.3249969482422,0.1640656449479556,-45647,-1.6211481630054356,56917,1.1717901818409324,0.043086596792308376,0.04157581228584325,-0.004166685504677803,0.010382786818184275,,0.016757503664392177
2015-04-07,268587,109189,42211,98411,152628,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,163.0,0.2018601049194488,-54217,-3.0802518833745474,66978,3.616151015009489,0.03413812196511299,0.06645310435931308,0.010382786818184275,-0.02085885826064038,,0.013282002417897945
2015-04-14,275475,113184,40960,97348,156047,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,159.60000610351562,0.21308285688356476,-58699,-1.6687330362228998,72224,1.9531846291890524,0.017687799680340968,0.03403311189537056,-0.02085885826064038,-0.020676710059882142,,0.010003906976265225
2015-04-21,272115,110806,43253,100414,153938,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,156.3000030517578,0.19669624974734948,-53524,1.8785733732643615,67553,-1.69561666212905,0.020345819966031325,0.030319552898564837,-0.020676710059882142,0.030070357367080858,,-0.008869081033764315
2015-04-28,277402,116677,46282,97897,154746,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,161.0,0.20493363422037333,-56849,-1.2219098542895468,70395,1.0444113701927493,0.013160863352635933,0.054614964500273075,0.030070357367080858,-0.059316789141352855,,-0.0002706426542337351
2015-05-05,281876,118389,42828,96857,158761,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,151.4499969482422,0.21961429848585903,-61904,-1.8222651603088658,75561,1.8622792914254405,0.019775602657089875,0.032043767096522076,-0.059316789141352855,0.00016513143464758073,,-0.0178539372507237
2015-05-12,288011,122287,42476,96256,162433,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,151.47500610351562,0.22977247396800818,-66177,-1.5159147994153457,79811,1.5077551831301708,0.01651790373769275,0.025794626220692753,0.00016513143464758073,0.0033008745987987975,,-0.012517520893374419
2015-05-19,303895,127878,42520,96114,167317,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,151.97500610351562,0.23430132118001284,-71203,-1.745072236824288,85358,1.9259681053848638,0.01907899981399304,0.033069636967570044,0.0033008745987987975,-0.0011515252161833356,,-0.006465965809248541
2015-05-26,310681,129561,45370,99281,169408,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,151.8000030517578,0.225720272562532,-70127,0.3540696622188585,84191,-0.38401421543625264,0.01956909289178195,0.025913074297866014,-0.0011515252161833356,0.009881422726246925,,-0.01435309164787634
2015-06-02,314748,127566,45754,100938,169237,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,153.3000030517578,0.21699581887732408,-68299,0.5883848706551092,81812,-0.7657372031118737,0.006765985009715925,0.013726055850450034,0.009881422726246925,0.011578563999669944,,0.0030443371853667955
2015-06-09,300359,127915,41300,95750,167680,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,155.0749969482422,0.23948008882703697,-71930,-1.1536213097462098,86615,1.5259826909146366,0.025604524921231445,0.028384008509883877,0.011578563999669944,-0.01950665133654006,,0.005884983492607506
2015-06-16,289075,122365,41472,94163,160583,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,152.0500030517578,0.22976736141139842,-66420,1.8344714158723394,80893,-1.905053619169061,0.03408885713612775,0.03492495590129214,-0.01950665133654006,-0.0003288592617837205,,0.0002004324553717168
2015-06-23,276256,118083,44064,92346,152428,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,152.0,0.21748667902235608,-60082,2.1925105941364698,74019,-2.3779296030441923,0.04073962103818216,0.04239363047111572,-0.0003288592617837205,-0.027302591424239298,,0.0004060365878848427
2015-06-30,250887,108174,41848,85962,137209,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,147.85000610351562,0.20426327390418794,-51247,3.1981205838063245,66326,-2.784735897138886,0.0968002114970135,0.0808214795163376,-0.027302591424239298,0.021812585130829287,0.17868528804277903,-0.00892963529093926
2015-07-07,247813,102578,42338,85910,131515,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,151.0749969482422,0.1840298935084116,-45605,2.2488211824446864,60240,-2.425793285423318,0.026427503736920776,0.04199674294073808,0.021812585130829287,-0.025980493999960164,0.17888323639335799,-0.006351507408795476
2015-07-14,235318,84094,40050,90036,123598,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,147.14999389648438,0.14262402366159835,-33562,4.859712767288237,44044,-6.535573194303769,0.056372113053165696,0.16732181982214203,-0.025980493999960164,-0.013591573788354627,0.17758826451008086,-0.007981608347374583
2015-07-21,238026,77130,46441,93515,114893,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,145.14999389648438,0.08981371782914471,-21378,5.177674466041697,30689,-5.6752989571558485,0.058462247130628385,0.10807551933706129,-0.013591573788354627,-0.0006888794277033483,0.1745615560038417,-0.011329455113638571
2015-07-28,241198,78517,58723,95134,107252,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,145.0500030517578,0.05024088093599449,-12118,3.890331308344466,19794,-4.577231058791897,0.04575415295524394,0.09959924220343923,-0.0006888794277033483,0.021889024370615795,0.17041753350158012,-0.004622759026164158
2015-08-04,242340,73193,64111,99125,103470,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,148.22500610351562,0.01792935545101923,-4345,3.2226635378402806,9082,-4.441164520435493,0.03836718576470298,0.07801666375342306,0.021889024370615795,0.013155654362937641,0.16549856001607816,-0.004603560855954844
