,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,NG_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,956917,229376,445516,368101,179920,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.937999963760376,-0.19665341926206767,188181,,-216140,,,,,0.0017018769579963955,,
2015-01-13,984362,231928,452209,376397,180762,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.943000078201294,-0.1987429421290135,195635,0.7789599306940936,-220281,-0.4327439056887901,0.01640106325124426,0.013513375245016715,0.0017018769579963955,-0.03805640012906841,,
2015-01-20,1019571,235474,444975,388733,206499,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.8310000896453857,-0.17873595855511779,182234,-1.3613894075553505,-209501,1.0951255737218624,0.06396329498414063,0.015842480479800837,-0.03805640012906841,0.05298475881279163,,-0.018344497701271032
2015-01-27,1000469,221815,450669,392736,194858,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.9809999465942383,-0.1977852387230389,197878,1.5343708285151305,-228854,-1.8981512812741832,0.026623825294335886,0.028778379857364637,0.05298475881279163,-0.07614894403201733,,0.0055281037198375545
2015-02-03,1014989,234625,475702,411294,197837,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.753999948501587,-0.21030474221888118,213457,1.5571696874166017,-241077,-1.2217270100322948,0.035356926506777686,0.053275463272549124,-0.07614894403201733,-0.02795929708245426,,-0.014991490039501941
2015-02-10,1013349,240715,480466,400490,189598,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.677000045776367,-0.20811388771292022,210892,-0.2527120983577162,-239751,0.13064180991124041,0.03227145781646128,0.015050313305536335,-0.02795929708245426,0.030631309586831357,,-0.02254726037786853
2015-02-17,1002010,241330,471809,388034,178573,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.759000062942505,-0.20904082793584894,209461,-0.14121492200614005,-230479,0.9149858538371282,0.041441422361531005,0.013001672885650623,0.030631309586831357,0.05183033135342496,,-0.005136210956399133
2015-02-24,984419,245170,475899,379175,177512,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.9019999504089355,-0.2048548433136703,201663,-0.7782357461502379,-230729,-0.024949850799892218,0.017819708381909403,0.01099756056632583,0.05183033135342496,-0.06547210905144385,,-0.005426346065448761
2015-03-03,983213,241751,476037,386286,175182,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.711999893188477,-0.2147083083726517,211104,0.9590428465927617,-234286,-0.36132988087389617,0.016814849644147128,0.004955502181702675,-0.06547210905144385,0.007374712438346753,,-0.0027462086800064747
2015-03-10,973142,245046,466369,373749,173296,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.7320001125335693,-0.20598535465533294,200453,-1.0832851070927663,-221323,1.3184325268278592,0.026365289875604384,0.01822143193494655,0.007374712438346753,0.0450219258687552,,0.0060725855549891026
2015-03-17,987946,247583,459836,376946,189920,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.8550000190734863,-0.1893079176392232,187026,-1.379757527678386,-212253,0.9320325296822047,0.034965935512096334,0.012821255861095051,0.0450219258687552,-0.024168127937329364,,0.009642080529384433
2015-03-24,956871,230330,449615,376948,181883,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.7860000133514404,-0.20385715524872214,195065,0.813708441554498,-219285,-0.7117797936324455,0.014385386637462846,0.04040620932575429,-0.024168127937329364,-0.05240484843775495,,-0.009354517052589594
2015-03-31,998123,242842,465459,397000,195509,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.640000104904175,-0.20186990982073352,201491,0.6715638785165399,-222617,-0.34821830737894655,0.05683964294213253,0.04003382742647547,-0.05240484843775495,0.015151500099837678,,-0.006062423929800757
2015-04-07,997602,240329,466247,399307,193283,023651,NATURAL GAS - NEW YORK MERCANTILE EXCHANGE,2.680000066757202,-0.20651923312102421,206024,0.4541524441376464,-225918,-0.3307207628719106,0.007649470966435478,0.004671825819161704,0.015151500099837678,-0.05597018344440996,,-0.004108315183441857
