,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PA_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,32665,24265,3185,5531,27864,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,800.4000244140625,0.683698147864687,-22333,,21080,,,,,0.019115426444632044,,
2015-01-13,33826,25060,3870,5446,28003,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,815.7000122070312,0.6668538993673505,-22557,-0.6857492729220879,21190,0.3367518750956681,0.006696762235044396,0.051157967507777395,0.019115426444632044,-0.045298530898701284,,
2015-01-20,34518,25210,4951,5986,27085,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,778.75,0.611246306274987,-21099,4.310293856796547,20259,-2.7523207000532133,0.04408696440990596,0.04081429660820265,-0.045298530898701284,0.004237544517455838,,-0.013178001933054361
2015-01-27,34098,24917,5397,6087,26236,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,782.0499877929688,0.5909144231333217,-20149,2.752187264615563,19520,-2.140911987948317,0.02939083624663552,0.02437817510061358,0.004237544517455838,0.005434435223244494,,-0.0073420738267792615
2015-02-03,33952,23941,5041,6819,26502,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,786.2999877929688,0.5797302073515551,-19683,1.3666490703267054,18900,-1.8182884626664322,0.02995108190030311,0.045959561106893934,0.005434435223244494,-0.02581710302444229,,-0.004136323983728919
2015-02-10,33778,23429,5373,7015,25785,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,766.0,0.5556871336372787,-18770,2.689090480678605,18056,-2.4858623939679547,0.027835365853658537,0.029303520588847998,-0.02581710302444229,0.022911211217974792,,-0.015480114645456459
2015-02-17,34191,23928,5236,7037,26616,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,783.5499877929688,0.5726360738205961,-19579,-2.395050032565575,18692,1.8828823494582272,0.025346923008349925,0.021807708133315045,0.022911211217974792,0.008614638638452021,,0.0016900929714911027
2015-02-24,32998,24025,4762,6288,26492,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,790.2999877929688,0.6122795320928541,-20204,-1.8279664239127258,19263,1.670030124886666,0.02663209273947529,0.01983534234202939,0.008614638638452021,0.051689279073853456,,0.0027819223769956214
2015-03-03,32935,25100,3878,4923,27628,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,831.1500244140625,0.6893881888568393,-22705,-7.5792472271046725,21222,5.936723437784108,0.07683327701145894,0.06760300917937746,0.051689279073853456,-0.0329664002998481,,0.014247526723415555
2015-03-10,32909,25375,3738,4847,27678,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,803.75,0.6937615849767541,-22831,-0.38257173219978746,21637,1.260057689388189,0.003873943120676403,0.014254800261051763,-0.0329664002998481,-0.05219286122181177,,0.012483932589415337
2015-03-17,31255,23719,4546,5196,25077,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,761.7999877929688,0.6360902255639098,-19881,8.964113160533593,19173,-7.4873135008660245,0.09744656955042447,0.08717495135326375,-0.05219286122181177,0.0020346387737013583,,-0.006233222181247728
2015-03-24,30935,23232,4920,5741,24648,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,763.3499755859375,0.61118474220139,-18907,3.1163013917773155,18312,-2.7547592385218365,0.032051071111257365,0.030583972719522592,0.0020346387737013583,-0.037138896302677415,,-0.007889879319819219
2015-03-31,31497,23514,7748,6191,21640,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,735.0,0.4904911578880528,-15449,11.178277032487474,15766,-8.230160012930337,0.12424993712047716,0.09948179898918816,-0.037138896302677415,0.0458503567442603,,-0.03052712707228322
2015-04-07,31602,23474,7410,6107,22264,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,768.7000122070312,0.511265109803177,-16157,-2.2478331269644727,16064,0.9461218528748769,0.024955059744104897,0.012239347234814143,0.0458503567442603,-0.008455834391543293,,-0.010415746548900791
2015-04-14,31666,23383,6314,5933,23065,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,762.2000122070312,0.5410219162508685,-17132,-3.0852477691285363,17069,3.1801784697171063,0.03362300848334368,0.039970367377176144,-0.008455834391543293,0.015809482550487974,,0.0005724023524468394
2015-04-21,32073,22622,5191,6969,24467,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,774.25,0.5455679231752565,-17498,-1.155813806606455,17431,1.1431819617255101,0.07755439623361751,0.06773810807895589,0.015809482550487974,0.008524346898207913,,0.004008233439047784
2015-04-28,32578,23304,5251,6735,24858,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,780.8499755859375,0.556295659647615,-18123,-1.9486795747201697,18053,1.9393259127615126,0.019782863292501503,0.02598494134127123,0.008524346898207913,0.018057292773190348,,0.015314224322326587
2015-05-05,32470,22975,4354,6869,25799,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,794.9500122070312,0.5829996920234062,-18930,-2.4771318067407453,18621,1.7435078887592854,0.03290682012979062,0.04486077060997475,0.018057292773190348,-0.012327803814683791,,0.008448036595394505
2015-05-12,31823,22623,4637,6655,24862,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,785.1500244140625,0.5721333626622255,-18207,2.2266707730212505,17986,-1.9556513704958423,0.0365199733477171,0.023294203961848864,-0.012327803814683791,-0.012736419396360277,,0.007487726478846255
2015-05-19,31484,22418,5176,6401,23883,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,775.1500244140625,0.5552661669419388,-17482,2.2782264399962293,17242,-2.337931684630613,0.04071456874917448,0.026962383126766687,-0.012736419396360277,0.006772882454552542,,0.00037928217850855884
2015-05-26,30284,22574,4791,5946,23757,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,780.4000244140625,0.5881323471139875,-17811,-1.044975225511371,17783,1.7183331215855673,0.01956031377301956,0.019769778914672027,0.006772882454552542,-0.015633023866434725,,-5.8513707718900025e-05
2015-06-02,29149,23178,6359,4507,21162,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,768.2000122070312,0.5713746612233696,-16655,3.8171971998415004,16819,-3.183199049002774,0.15715454439206825,0.07353488844500118,-0.015633023866434725,-0.03749022043129968,,-0.008517260256813953
2015-06-09,32282,25111,10841,5481,19458,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,739.4000244140625,0.43296573942134936,-13977,9.187279151943462,14270,-8.744725376513776,0.1073820121095473,0.17843235425011125,-0.03749022043129968,-0.008993811461302403,,-0.014881883255925845
2015-06-16,33684,25801,13490,6078,18197,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,732.75,0.3597850611566322,-12119,5.755529397187287,12311,-6.0683972492410625,0.07653964984552009,0.08498129342597542,-0.008993811461302403,-0.05076767274927496,,-0.013932653544156735
2015-06-23,34821,25359,15487,7554,16662,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,695.5499877929688,0.26156629620056865,-9108,8.938962118513242,9872,-7.240826505165657,0.12433927981499834,0.05971208931107085,-0.05076767274927496,-0.03436124476796065,,-0.02862705404463422
2015-06-30,37100,26460,17716,8395,16496,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,671.6500244140625,0.218355795148248,-8101,2.89193302891933,8744,-3.239424485224433,0.04045638985978868,0.07538029699384281,-0.03436124476796065,-0.030149630408583428,0.5496419751460853,-0.03345672374952858
2015-07-07,36192,24616,17269,9288,16111,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,651.4000244140625,0.18852232537577365,-6823,3.4447439353099734,7347,-3.7654986522911047,0.050316941611874486,0.05469738569893757,-0.030149630408583428,0.0072151535089404195,0.5362671733027405,-0.03156093772002564
2015-07-14,36205,24152,17140,9545,16311,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,656.0999755859375,0.1868802651567463,-6766,0.15749336870026526,7012,-0.9256189213085764,0.017674814356435642,0.014361135328877265,0.0072151535089404195,-0.04214291176312446,0.5237890694403835,-0.027387485319559753
2015-07-21,36428,23083,17037,10523,16277,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,628.4500122070312,0.1579554189085319,-5754,2.795194033973208,6046,-2.668139759701699,0.037761194029850745,0.0292123629112662,-0.04214291176312446,-0.012491107436732318,0.5111741159737679,-0.02517387819671153
2015-07-28,37021,22959,17367,11190,16482,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,620.5999755859375,0.142945895572783,-5292,1.2682551883166795,5592,-1.246294059514659,0.03151199768719283,0.011258245300798492,-0.012491107436732318,-0.03625523829380861,0.49889984196040177,-0.019582618005371113
2015-08-04,37485,22844,18245,11311,15517,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE,598.0999755859375,0.11220488195278111,-4206,2.9334701925933926,4599,-2.682261419194511,0.04048009542269271,0.024167052009053516,-0.03625523829380861,0.0010868156505534632,0.486425810992414,-0.0211404182557064
