,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2015-01-06,66275,45565,18265,13156,44335,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1220.800048828125,0.4704488872123727,-31179,,27300,,,,,0.02178896995578561,
2015-01-13,66358,46360,17828,12817,45480,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1247.4000244140625,0.4922239971066036,-32663,-2.239155035835534,28532,1.8589211618257262,0.025455855361339347,0.019193618744936747,0.02178896995578561,0.03174601155274037,
2015-01-20,67945,49136,16064,11601,49221,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1287.0,0.5536831260578409,-37620,-7.4700865004973025,33072,6.841676964344917,0.08150011508993456,0.0696319018404908,0.03174601155274037,-0.016083878144425023,
2015-01-27,65908,47515,12672,11734,50419,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1266.300048828125,0.5869545426958791,-38685,-1.56744425638384,34843,2.606519979395099,0.021414895499814974,0.08329041155066709,-0.016083878144425023,-0.02298041264641837,
2015-02-03,64831,46193,13797,12476,47804,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1237.199951171875,0.5449244959972852,-35328,5.0934636159495055,32396,-3.7127511076045394,0.05569011280690113,0.04079013168861477,-0.02298041264641837,-0.022550843392228792,
2015-02-10,64849,45418,16091,13309,45432,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1209.300048828125,0.4953507378679702,-32123,4.943622649658343,29327,-4.733846462340547,0.054561549854445786,0.04989513729698093,-0.022550843392228792,-0.0242289321467557,
2015-02-17,67715,46690,19530,14284,44406,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1180.0,0.44483497009525214,-30122,3.085629693595892,27160,-3.3416089685268857,0.03409439427500426,0.0711416490486258,-0.0242289321467557,-0.011355952893273291,
2015-02-24,69019,47127,22945,14693,41417,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1166.5999755859375,0.38719772816181053,-26724,5.01809052647124,24182,-4.397843904600163,0.060559615041882016,0.054972028770407584,-0.011355952893273291,0.020658302837553988,
2015-03-03,68794,47907,24366,13245,39763,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1190.699951171875,0.38546966305201036,-26518,0.2984685376490531,23541,-0.9287297700633159,0.058519468759432536,0.030453973129661145,0.020658302837553988,-0.05055845606832088,
2015-03-10,69341,48560,26542,13071,37393,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1130.5,0.3507592910399331,-24322,3.1921388493182548,22018,-2.2138558595226328,0.050412175015852885,0.037668770472157866,-0.05055845606832088,-0.031667446995245485,
2015-03-17,72020,50983,30049,13788,36444,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1094.699951171875,0.31457928353235215,-22656,2.402618941174774,20934,-1.563288674809997,0.033166109253065776,0.07318096554447626,-0.031667446995245485,0.04366497758308574,
2015-03-24,72949,51655,29495,13989,38221,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1142.5,0.33217727453426366,-24232,-2.188281033046376,22160,1.7023049153013052,0.03788546255506608,0.015107825015403574,0.04366497758308574,8.750598331519477e-05,
2015-03-31,68848,51053,26280,12081,38365,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1142.5999755859375,0.3817685335812224,-26284,-2.8129240976572674,24773,3.5819545161688304,0.04067715973516235,0.04935797137056625,8.750598331519477e-05,0.02686861009816166,
2015-04-07,68260,50419,22025,11835,42196,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1173.300048828125,0.44478464693817754,-30361,-5.921740646060888,28394,5.259412038112944,0.07545668227499028,0.06748661034730274,0.02686861009816166,-0.01670510256590063,
2015-04-14,68699,50393,21026,12594,43707,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1153.699951171875,0.45288868833607476,-31113,-1.1016700849692351,29367,1.42543217111046,0.04031899966252819,0.014351923157703133,-0.01670510256590063,-0.0016467906944264143,
2015-04-21,68668,50733,23354,12050,41282,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1151.800048828125,0.42570047183549836,-29232,2.7380311212681407,27379,-2.8937830244981733,0.05567014175354384,0.03601171595556575,-0.0016467906944264143,0.004948733226460833,
2015-04-28,70799,51324,26089,13100,40554,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1157.5,0.38777383861353976,-27454,2.589270111259976,25235,-3.1222694704957186,0.03313825623439073,0.04296435999121594,0.004948733226460833,-0.008120971416036737,
2015-05-05,70063,50930,25614,13072,40524,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1148.0999755859375,0.3918187916589355,-27452,0.0028248986567606885,25316,0.1144083955988079,0.001082170311217255,0.011352947324414716,-0.008120971416036737,-0.013674724767642754,
2015-05-12,71688,52853,27770,12822,39996,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1132.4000244140625,0.3790592567793773,-27174,0.39678574996788607,25083,-0.33255784080042244,0.014729826952932712,0.05059350309465041,-0.013674724767642754,0.015365616424342532,
2015-05-19,70841,53101,23442,11674,43523,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1149.800048828125,0.44958428028966274,-31849,-6.521314585425733,29659,6.383216158910836,0.08469663206333677,0.05978338972864926,0.015365616424342532,-0.022960535130407522,
2015-05-26,72424,53503,24327,12286,43815,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1123.4000244140625,0.43533911410582127,-31529,0.45171581428833585,29176,-0.6818085571914569,0.016113794763016703,0.01653604008736991,-0.022960535130407522,-0.009880697298121355,
