,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,RR_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,8860,869,4531,5892,2394,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1136.0,-0.39480812641083524,3498,,-3662,,,,,-0.010563380281690127,,
2015-01-13,8446,887,4821,5859,1844,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1124.0,-0.4753729576130713,4015,5.835214446952596,-3934,-3.069977426636569,0.07568479813059847,0.0539593552908199,-0.010563380281690127,0.0022241992882561235,,
2015-01-20,8704,917,4986,6018,1853,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1126.5,-0.478515625,4165,1.7759886336727444,-4069,-1.5983897703054701,0.02134417481895566,0.033034050482805354,0.0022241992882561235,-0.026187305814469597,,-0.004178307478439696
2015-01-27,9045,1013,5038,5909,1746,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1097.0,-0.4602542841348812,4163,-0.022977941176470586,-4025,0.5055147058823529,0.02821685173089484,0.024458767145926295,-0.026187305814469597,-0.05332725615314493,,-0.011575568061295038
2015-02-03,10288,1012,4977,5969,2056,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1038.5,-0.380346034214619,3913,-2.7639579878385847,-3965,0.6633499170812603,0.04610591900311527,0.010352312573050592,-0.05332725615314493,-0.014443909484833872,,-0.022208222877539437
2015-02-10,10440,989,4804,5880,2189,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1023.5,-0.353544061302682,3691,-2.1578538102643856,-3815,1.45800933125972,0.027512702937166934,0.033833937510788885,-0.014443909484833872,0.04347826086956519,,-0.02320063338714849
2015-02-17,9667,925,4664,5763,2115,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1068.0,-0.3773662977138719,3648,-0.41187739463601536,-3739,0.7279693486590039,0.024244732165524245,0.03650026838432636,0.04347826086956519,-0.02200374531835203,,-0.012700361896835159
2015-02-24,9177,778,4763,5610,1712,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1044.5,-0.42475754603901056,3898,2.586117720078618,-3985,-2.54473983655736,0.07593553673859602,0.04439631835408771,-0.02200374531835203,-0.0081378650071805,,-0.011641664498793485
2015-03-03,9089,778,4814,5725,1637,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1036.0,-0.44977445263505333,4088,2.070393374741201,-4036,-0.5557371690094802,0.02580820429231187,0.009120171673819743,-0.0081378650071805,-0.006756756756756799,,-0.00027685305547107806
2015-03-10,8963,770,4889,5732,1566,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1029.0,-0.4647997322325114,4166,0.8581802178457476,-4119,-0.9131917702717571,0.01068785968758564,0.014666902279554691,-0.006756756756756799,0.03255587949465499,,0.0016436219599022764
2015-03-17,8862,763,5046,5654,1600,039601,ROUGH RICE - CHICAGO BOARD OF TRADE,1062.5,-0.4574588129090499,4054,-1.2495816132991187,-4283,-1.829744505187995,0.015439757375241246,0.028232053709760715,0.03255587949465499,0.04705882352941182,,-0.0010862116112032988
