,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,SB_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,841420,247711,258310,450931,435043,080732,SUGAR NO. 11 - ICE FUTURES U.S.,14.869999885559082,-0.018882365524945925,15888,,-10599,,,,,0.0,,
2015-01-13,818125,246320,237887,435866,440565,080732,SUGAR NO. 11 - ICE FUTURES U.S.,14.869999885559082,0.005743621084797555,-4699,-2.4466972498870954,8433,2.2618906134867247,0.023489584462439143,0.045050980262573655,0.0,0.06455951886585232,,
2015-01-20,815626,245303,214917,432576,473189,080732,SUGAR NO. 11 - ICE FUTURES U.S.,15.829999923706056,0.04979365542540331,-40613,-4.389793735676088,30386,2.6833307868601985,0.03965046121234537,0.05212072487071401,0.06455951886585232,-0.042324704960395865,,0.03176971504437461
2015-01-27,823104,241699,170291,438758,509566,080732,SUGAR NO. 11 - ICE FUTURES U.S.,15.15999984741211,0.08602558121452453,-70808,-3.7020644265876763,71408,5.02951107492895,0.044878121823343074,0.11706594820262628,-0.042324704960395865,-0.045514484652259934,,0.0073842736547193874
2015-02-03,853527,240921,204454,463526,497856,080732,SUGAR NO. 11 - ICE FUTURES U.S.,14.470000267028809,0.04022134039110655,-34330,4.431760749552912,36467,-4.245028574760905,0.03794329413282129,0.07845298905416784,-0.045514484652259934,0.01658602395917197,,-0.0058369194054693095
2015-02-10,864567,240555,204961,469309,505676,080732,SUGAR NO. 11 - ICE FUTURES U.S.,14.710000038146973,0.042063830796225166,-36367,-0.2386567735994292,35594,-0.10228147439975536,0.01395200951809515,0.001959525583817416,0.01658602395917197,0.029231835762112413,,-0.0016748134142466652
2015-02-17,857342,239236,184870,459263,519749,080732,SUGAR NO. 11 - ICE FUTURES U.S.,15.140000343322754,0.0705506087419023,-60486,-2.7897201720630096,54366,2.171260295616187,0.02463606166216553,0.050482662353279605,0.029231835762112413,-0.06406870839052614,,-0.010560903011988946
2015-02-24,836197,241545,208243,441265,479199,080732,SUGAR NO. 11 - ICE FUTURES U.S.,14.170000076293944,0.04536490803004555,-37934,2.630455524166552,33302,-2.4568958478646796,0.06360705035721115,0.05709801061833575,-0.06406870839052614,-0.050811592318432575,,-0.01606976310790892
2015-03-03,819751,246737,253672,424642,419748,080732,SUGAR NO. 11 - ICE FUTURES U.S.,13.449999809265137,-0.005970105556443359,4894,5.121759585360866,-6935,-4.81190437181669,0.09009344023496252,0.10115925173208315,-0.050811592318432575,-0.03197021246091447,,-0.017416399056558583
2015-03-10,847114,265284,264161,435800,434369,080732,SUGAR NO. 11 - ICE FUTURES U.S.,13.020000457763672,-0.001689264963157261,1431,-0.42244535230820085,1123,0.9829814175280055,0.029625279687049297,0.05484233489786475,-0.03197021246091447,-0.015361041160347533,,-0.02984565281173406
2015-03-17,864924,252965,253542,456192,450936,080732,SUGAR NO. 11 - ICE FUTURES U.S.,12.81999969482422,-0.006076834496441306,5256,0.4515330876363748,-577,-0.20068137228283325,0.040742872009242356,0.04528663967131748,-0.015361041160347533,-0.028861146206459187,,-0.041398086035939634
2015-03-24,883334,252243,262859,460387,441432,080732,SUGAR NO. 11 - ICE FUTURES U.S.,12.449999809265137,-0.021458474370962738,18955,1.5838385800370898,-10616,-1.1606800135040767,0.015190409605475156,0.019489343858109655,-0.028861146206459187,-0.041767029080786,,-0.03226599135107908
