,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,359296,123016,59553,147141,214778,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.689998626708984,0.1882486863199145,-67637,,63463,,,,,-0.009177095431733506,,
2015-01-13,358807,125601,48849,140442,223856,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.38999938964844,0.2324759550398961,-83414,-4.391087014606342,76752,3.6986217491984323,0.04330795118282285,0.07617655488678704,-0.009177095431733506,0.01389320072303768,,
2015-01-20,362950,128440,49075,140955,228806,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.84000015258789,0.24204711392753822,-87851,-1.2365979482005647,79365,0.7282466618544231,0.014774408334031984,0.017266146522829057,0.01389320072303768,-0.05085262084453257,,0.0023552768023789444
2015-01-27,387116,123293,69796,159229,214231,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.170000076293945,0.14208144328831668,-55002,9.050557928089269,53497,-7.127152500344399,0.08795854977775398,0.13396930948940644,-0.05085262084453257,-0.011870415089116348,,-0.015498319422759326
2015-02-03,407165,108123,90706,174512,192046,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.799999237060547,0.04306362285559908,-17534,9.67875262195311,17417,-9.320203763213094,0.10221574757609983,0.18146246271922103,-0.011870415089116348,0.0211039461681799,,-0.014607910544724238
2015-02-10,388804,102734,78523,169856,191946,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.450000762939453,0.05681525910227261,-22090,-1.1189566883204598,24211,1.6686110053663747,0.01314531152398273,0.09694522142593114,0.0211039461681799,0.027662922441323623,,-0.006955606503003389
2015-02-17,388675,108269,67533,166766,208896,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.31999969482422,0.10839390236058404,-42130,-5.1542679602061705,40736,4.250213475170009,0.05334582683369625,0.09399779297163854,0.027662922441323623,-0.02784652311350122,,-0.0034951427324863876
2015-02-24,364790,107700,66551,153453,194697,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.420000076293945,0.11306230982208942,-41244,0.22795394609892583,41149,0.10625844214317876,0.07902340944994973,0.008900953222650086,-0.02784652311350122,0.043921042565744584,,0.0022599270418405537
2015-03-03,353162,123494,58401,137741,208738,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.79999923706055,0.2010323874029482,-70997,-8.156199457221962,65093,6.56377641930974,0.08587244825804738,0.13163638362791721,0.043921042565744584,-0.059756071038503666,,0.01608036219162557
2015-03-10,358454,120642,77461,145553,189916,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.84000015258789,0.12376204478119926,-44363,7.541581483851603,43181,-6.204518039879716,0.07939332695420441,0.11060912757504934,-0.059756071038503666,-0.025940312357405015,,-0.0040126973986663005
