,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZM_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,336608,121526,47446,132610,220839,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,370.7999877929687,0.26211201159806063,-88229,,74080,,,,,-0.05690392740174077,,
2015-01-13,338726,116896,52449,141428,213294,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,349.70001220703125,0.21216558516322928,-71866,4.861144120163514,64447,-2.861785816142219,0.04612908136512536,0.056883876110897874,-0.05690392740174077,-0.06634261194505264,,
2015-01-20,345111,115568,60374,149724,209674,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,326.5,0.1737122259215151,-59950,3.517887614177831,55194,-2.731706453003312,0.03315544326902209,0.05259119482556752,-0.06634261194505264,0.030934168770338832,,-0.0636037791299905
2015-01-27,366125,118178,57629,159816,226230,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,336.6000061035156,0.18139706384431548,-66414,-1.8730205643981213,60549,1.5516746785816737,0.06902804329017785,0.03045953801611995,0.030934168770338832,0.0118835410798237,,-0.03125415243380909
2015-02-03,371005,115706,62939,161714,227635,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,340.6000061035156,0.17768224147922534,-65921,0.13465346534653463,52767,-2.125503584841243,0.00848339150736229,0.04356125276386129,0.0118835410798237,-0.04022317076197446,,-0.020312108581372265
2015-02-10,364911,104861,66002,160060,209436,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,326.8999938964844,0.13530970565425543,-49376,4.459508631959138,38859,-3.748736539938815,0.053729945655703985,0.0813985473742121,-0.04022317076197446,0.04710918991745494,,-0.016065378098310882
2015-02-17,371919,111491,65534,159555,219924,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,342.29998779296875,0.16231760141321094,-60369,-3.0125153804626335,45957,1.9451318266645838,0.028968664932710372,0.04009603163395001,0.04710918991745494,0.04265266323160399,,0.012349363990781563
2015-02-24,357742,117248,60941,149794,219493,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,356.8999938964844,0.19483035260047743,-69699,-2.5086107458882174,56307,2.78286401071201,0.02759913021579422,0.05808439353719927,0.04265266323160399,-0.042308787788590596,,0.015238852499087976
2015-03-03,336523,106492,62827,145091,201465,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,341.79998779296875,0.16751901058768642,-56374,3.7247513571232895,43665,-3.533831644033968,0.06559113101490091,0.07466380028230736,-0.042308787788590596,0.0005851732421722211,,0.0018058421347772707
2015-03-10,345400,111433,63028,146496,213001,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,342.0,0.19254487550665894,-66505,-3.010492596345569,48405,1.408521854375481,0.03599751875537209,0.02947363594155714,0.0005851732421722211,-0.07163742690058483,,0.011938017115776607
2015-03-17,340100,101916,67461,151006,197019,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,317.5,0.13529256101146722,-46013,5.932831499710481,34455,-4.038795599305153,0.058880827526758134,0.08236065109194282,-0.07163742690058483,0.027716496985728423,,-0.01783520039527862
2015-03-24,340977,97655,63728,148647,196494,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,326.29998779296875,0.14032324760907627,-47847,-0.5392531608350485,33927,-0.15524845633637166,0.008356005226849317,0.04953433756963249,0.027716496985728423,0.0015323322669482664,,-0.021643679831468667
2015-03-31,346338,105251,64777,148438,204531,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,326.79998779296875,0.16196028157464673,-56093,-2.4183449323561415,40474,1.9200708552189738,0.023361824976131047,0.05084456677723669,0.0015323322669482664,-0.021725752298483614,,-0.010505849787691424
2015-04-07,339892,97135,68664,150796,191202,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,319.70001220703125,0.11887893801560495,-40406,4.529390364326178,28471,-3.4656895864733293,0.04586868929058065,0.07239488778581295,-0.021725752298483614,-0.019080406226463897,,-0.016158434675688983
2015-04-14,345989,91305,82145,156778,175064,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,313.6000061035156,0.05285139122920093,-18286,6.507949583985501,9160,-5.681510597483907,0.06665822891617094,0.11133467858172384,-0.019080406226463897,0.007015247597689678,,-0.002893514496434494
2015-04-21,347324,96679,80615,156829,182792,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,315.79998779296875,0.07475152883186881,-25963,-2.2188566688536344,16064,1.9954391613606213,0.022904944040562862,0.03894096810946789,0.007015247597689678,0.00918310489601315,,-0.008097339813681395
2015-04-28,333979,102596,74204,149020,187711,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,318.70001220703125,0.11584860125936061,-38691,-3.6645898354274395,28392,3.549423592956433,0.037798717670781724,0.06972850678733032,0.00918310489601315,-0.0018826673377277947,,-0.006170952731308757
2015-05-05,331199,100254,74067,150328,186644,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,318.1000061035156,0.10965008952321716,-36316,0.7111225556097839,26187,-0.6602211516292941,0.007048063340574291,0.014220891344129509,-0.0018826673377277947,-0.04904120026467118,,-0.0011918902867337111
2015-05-12,348881,104059,87100,163326,186323,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,302.5,0.06591645862056117,-22997,4.0214493401248195,16959,-2.786240296619253,0.03809248703699996,0.08808374180655894,-0.04904120026467118,0.015206631747159083,,-0.008719281470439893
2015-05-19,352972,101472,86273,163814,188012,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,307.1000061035156,0.06855501286221004,-24198,-0.34424345263857875,15199,-0.5044700055319722,0.0061877177923177935,0.018184239260699352,0.015206631747159083,-0.01693263465868655,,-0.00665563240489768
2015-05-26,378102,104856,90037,179469,201792,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,301.8999938964844,0.05903962422838282,-22323,0.5312036082182157,14819,-0.10765726459889169,0.07720432984228652,0.03667653532964242,-0.01693263465868655,-0.00033125573215453397,,-0.01324986062428505
2015-06-02,394409,107238,89589,184109,209830,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE,301.79998779296875,0.06521402909162824,-25721,-0.8986992927834287,17649,0.748475279157476,0.032182647567262954,0.014378108694437246,-0.00033125573215453397,0.04870779589664953,,-0.012856911744168519
