,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZO_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,7731,2374,1213,3119,4961,004603,OATS - CHICAGO BOARD OF TRADE,304.5,0.23826154443150951,-1842,,1161,,,,,-0.036945812807881784,,
2015-01-13,7646,2175,1394,3062,4272,004603,OATS - CHICAGO BOARD OF TRADE,293.25,0.1582526811404656,-1210,8.174880351830293,781,-4.91527616091062,0.10171802563403327,0.10647240123283833,-0.036945812807881784,-0.010230179028132946,,
2015-01-20,7757,2038,1374,3775,4333,004603,OATS - CHICAGO BOARD OF TRADE,290.25,0.07193502642774269,-558,8.527334554015171,664,-1.5302118754904526,0.0954612728169709,0.046014067995310666,-0.010230179028132946,-0.003445305770887197,,-0.02387064631318586
2015-01-27,7551,2004,987,3289,4079,004603,OATS - CHICAGO BOARD OF TRADE,289.25,0.10462190438352537,-790,-2.9908469769240686,1017,4.550728374371536,0.1004343105320304,0.14075560013373453,-0.003445305770887197,-0.03197925669835777,,-0.017017749855918377
2015-02-03,8231,2080,1410,3962,4494,004603,OATS - CHICAGO BOARD OF TRADE,280.0,0.06463370185882639,-532,3.4167659912594357,670,-4.595417825453582,0.12866603595080417,0.14297994269340975,-0.03197925669835777,-0.017857142857142905,,-0.02086633417964875
2015-02-10,8367,2123,1615,4210,4422,004603,OATS - CHICAGO BOARD OF TRADE,275.0,0.025337635950758934,-212,3.8877414651925646,508,-1.968169116753736,0.03707136237256719,0.06634563937934725,-0.017857142857142905,0.01090909090909098,,-0.016005376497564307
2015-02-17,9448,1990,1805,5185,5294,004603,OATS - CHICAGO BOARD OF TRADE,278.0,0.01153683319220999,-109,1.2310266523246085,185,-3.8604039679694035,0.17625727645767725,0.08511198945981555,0.01090909090909098,-0.01258992805755399,,-0.010649660467497673
2015-02-24,9362,1525,2072,5386,4682,004603,OATS - CHICAGO BOARD OF TRADE,274.5,-0.07519760734885708,704,8.604995766299746,-547,-7.7476714648602885,0.08075089392133493,0.20350291909924936,-0.01258992805755399,0.06648451730418947,,-0.01296296655418207
2015-03-03,8529,1741,2121,4584,4155,004603,OATS - CHICAGO BOARD OF TRADE,292.75,-0.050298979950756245,429,-2.9374065370647298,-380,1.7838068788720358,0.15207689667009955,0.06861729673744174,0.06648451730418947,-0.013663535439795038,,0.011668294234042302
2015-03-10,8938,2135,2461,4621,4461,004603,OATS - CHICAGO BOARD OF TRADE,288.75,-0.017901096442157084,160,-3.153945362879587,-326,0.6331340133661625,0.03776701167143801,0.15970409051349,-0.013663535439795038,-0.061471861471861455,,0.012703997593832015
