,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZS_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,609763,189512,157103,305406,260862,005602,SOYBEANS - CHICAGO BOARD OF TRADE,1051.0,-0.07305133305890978,44544,,32409,,,,,-0.04852521408182686,,
2015-01-13,618995,184724,171578,320086,253457,005602,SOYBEANS - CHICAGO BOARD OF TRADE,1000.0,-0.10764061099039572,66629,3.6218990001033187,13146,-3.159096239030574,0.038506267184849265,0.0540636875459582,-0.04852521408182686,-0.018000000000000016,,
2015-01-20,648949,181193,188933,337745,249351,005602,SOYBEANS - CHICAGO BOARD OF TRADE,982.0,-0.13621101195933732,88394,3.516183490981349,-7740,-3.374179112916906,0.03707230163380435,0.056429432139325525,-0.018000000000000016,-0.008401221995926633,,-0.03382838922202939
2015-01-27,682972,164502,197985,374402,260044,005602,SOYBEANS - CHICAGO BOARD OF TRADE,973.75,-0.16744171064113902,114358,4.000930735697258,-33483,-3.966875671277712,0.0746320411823859,0.07101771925613884,-0.008401221995926633,0.013607188703465889,,-0.025292658241659653
2015-02-03,708274,173923,200165,380018,280644,005602,SOYBEANS - CHICAGO BOARD OF TRADE,987.0,-0.14030445844404849,99374,-2.1939406007859765,-26242,1.0602191597898596,0.039681410464049695,0.031011419772887662,0.013607188703465889,-0.018237082066869248,,-0.015448528238544687
2015-02-10,726768,160817,201930,383157,270623,005602,SOYBEANS - CHICAGO BOARD OF TRADE,969.0,-0.15484171014684192,112534,1.8580379909470062,-41113,-2.099611167429554,0.02012909541435957,0.040995514780273856,-0.018237082066869248,0.03998968008255943,,-0.007788026946399103
2015-02-17,702704,165206,193811,368625,273126,005602,SOYBEANS - CHICAGO BOARD OF TRADE,1007.75,-0.1359021721806052,95499,-2.3439391938004976,-28605,1.7210444048169429,0.026544563234026906,0.034839575841812506,0.03998968008255943,0.008186554204911989,,0.006717031330518307
2015-02-24,677947,176219,189285,341454,263362,005602,SOYBEANS - CHICAGO BOARD OF TRADE,1016.0,-0.11518894544853801,78092,-2.477145426808443,-13066,2.2113151483412645,0.06106815957249808,0.042513898616704605,0.008186554204911989,-0.007135826771653586,,0.010827752965201316
2015-03-03,671988,192918,188207,328509,257690,005602,SOYBEANS - CHICAGO BOARD OF TRADE,1008.75,-0.10538729858271279,70819,-1.0727977260759323,4711,2.6221813799603804,0.03175883957495663,0.04664348966874385,-0.007135826771653586,-0.028500619578686548,,0.005684643118286204
2015-03-10,678241,177354,185747,350296,269567,005602,SOYBEANS - CHICAGO BOARD OF TRADE,980.0,-0.1190270125220976,80729,1.4747287153937272,-8393,-1.9500348220503938,0.054308774680856896,0.04963908113720425,-0.028500619578686548,-0.02602040816326534,,0.0031300432838732234
2015-03-17,716017,182446,192971,370294,288220,005602,SOYBEANS - CHICAGO BOARD OF TRADE,954.5,-0.11462577005853213,82074,0.19830709143210157,-10525,-0.31434254195779965,0.05869427225541143,0.03280618618762603,-0.02602040816326534,0.028548978522786816,,-0.013457725404462861
2015-03-24,728285,185190,193766,376378,301124,005602,SOYBEANS - CHICAGO BOARD OF TRADE,981.75,-0.10333042696197231,75254,-0.9524913514623257,-8576,0.2722002410557291,0.02802648553067002,0.009338815060323627,0.028548978522786816,-0.008658008658008698,,-0.00831141330022583
2015-03-31,763912,188526,202812,392976,313369,005602,SOYBEANS - CHICAGO BOARD OF TRADE,973.25,-0.10420964718449245,79607,0.5977055685617582,-14286,-0.7840337230617134,0.0408341532820364,0.03164016783445513,-0.008658008658008698,-0.002311841767274614,,-0.008695208462904254
2015-04-07,753955,184254,195292,391881,319289,005602,SOYBEANS - CHICAGO BOARD OF TRADE,971.0,-0.09628160831879887,72592,-0.9182994899936119,-11038,0.4251798636492161,0.009864026885273562,0.031068697865344386,-0.002311841767274614,-0.01107106076210096,,-0.002112549879428395
2015-04-14,794398,180451,217666,423451,325609,005602,SOYBEANS - CHICAGO BOARD OF TRADE,960.25,-0.12316496265096337,97842,3.3490062404254894,-37215,-3.471957875470021,0.05058339785864951,0.06575202767025774,-0.01107106076210096,0.015620932048945546,,0.0016256946758830021
2015-04-21,749699,183859,194607,383879,311008,005602,SOYBEANS - CHICAGO BOARD OF TRADE,975.25,-0.09720034307101917,72871,-3.1433865644173324,-10748,3.331705266126048,0.0779594380093454,0.0699323056760713,0.015620932048945546,0.0023071007433992374,,-0.0016062841685600766
2015-04-28,692811,186534,190418,355119,287533,005602,SOYBEANS - CHICAGO BOARD OF TRADE,977.5,-0.09755330097241528,67586,-0.7049495864340222,-3884,0.9155674477356912,0.08128038191742964,0.018209214966361766,0.0023071007433992374,0.01636828644501276,,0.0011356374853239593
2015-05-05,688679,191630,192573,354398,285723,005602,SOYBEANS - CHICAGO BOARD OF TRADE,993.5,-0.09971989853037481,68675,0.15718572597721456,-943,0.42450249779521404,0.003953939958226647,0.018872835454173967,0.01636828644501276,-0.02667337695017613,,0.005789522941243278
2015-05-12,693980,198574,205998,359662,285218,005602,SOYBEANS - CHICAGO BOARD OF TRADE,967.0,-0.10727110291362864,74444,0.8376907093144993,-7424,-0.9410770475068936,0.008945850390770376,0.050347033408144906,-0.02667337695017613,-0.021458117890382655,,0.0019039219615692843
