,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZW_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2015-01-06,375872,127118,120140,158548,158931,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,591.75,0.0010189639026051422,-383,,6978,,,,,-0.07393324883819186,,
2015-01-13,368985,120028,113594,155111,151022,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,548.0,-0.011081751290702874,4089,1.189766729099268,6434,-0.14473012089221862,0.03706232258528156,0.05836779070464254,-0.07393324883819186,-0.02007299270072993,,
2015-01-20,382543,118632,117264,158715,148460,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,537.0,-0.026807443869055245,10255,1.671070639727902,1368,-1.372955540198111,0.02007324814844958,0.021475565503442196,-0.02007299270072993,-0.03351955307262566,,-0.04814365001268905
2015-01-27,387290,119886,119964,158168,145848,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,519.0,-0.031810787781765604,12320,0.5398085966806346,-78,-0.37799672193714173,0.010390900478922162,0.016485303314571608,-0.03351955307262566,-0.010115606936416222,,-0.04343853781501707
2015-02-03,427575,122940,142306,181090,149721,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,513.75,-0.07336490674150734,31369,4.918536497198481,-19366,-4.980247359859537,0.08099791119400504,0.09574508192394984,-0.010115606936416222,0.015571776155717698,,-0.03501632838115257
2015-02-10,424104,120580,137716,172235,144730,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,521.75,-0.06485437534189727,27505,-0.903701105069286,-17136,0.5215459276150384,0.04368305648888678,0.026907114318456344,0.015571776155717698,0.02491614758025884,,-0.01210709006705403
2015-02-17,410585,122657,140827,167756,142553,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,534.75,-0.0613831484345507,25203,-0.5427913907909381,-18170,-0.24380812253598175,0.021449587346805927,0.019690000151811875,0.02491614758025884,-0.05423094904160819,,-0.0007871187649800672
2015-02-24,401742,124096,147364,162616,130159,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,505.75,-0.08079065669011455,32457,1.7667474457176955,-23268,-1.2416430215424334,0.05988899325420545,0.029381861047668163,-0.05423094904160819,0.005931784478497182,,-0.005982517686521938
2015-03-03,404555,123959,153066,159430,122226,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,508.75,-0.09196277391207623,37204,1.1816041140831677,-29107,-1.4534203543567763,0.03947723464083847,0.021077520079415216,0.005931784478497182,-0.024078624078624045,,-0.001954719426603018
2015-03-10,424445,129031,165819,171121,123779,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,496.5,-0.11153859746256876,47342,2.5059633424379872,-36788,-1.8986293581836833,0.04491013903017972,0.06045446837374936,-0.024078624078624045,0.014098690835850913,,-0.011936366084209895
2015-03-17,426797,132301,164632,166138,126987,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,503.5,-0.09173213494940217,39151,-1.9298142279918482,-32331,1.0500771595848697,0.02794371002132196,0.015010120128109709,0.014098690835850913,0.03972194637537241,,-0.01467695596281767
2015-03-24,427942,118638,158508,170895,126031,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,523.5,-0.10483663674049287,44864,1.3385754820207265,-39870,-1.7664135408636892,0.019240484161036756,0.07139558211195543,0.03972194637537241,-0.02244508118433619,,0.008878914916572852
2015-03-31,431772,113490,162267,178555,124789,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,511.75,-0.1245240543620244,53766,2.080188436750775,-48777,-2.0813568193820657,0.029346220792235877,0.03230017733004058,-0.02244508118433619,0.027845627747923762,,0.001822571094882216
2015-04-07,447444,116405,159616,181158,136581,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,526.0,-0.09962587496982862,44577,-2.12820655345877,-43211,1.289106287577703,0.04530447946270367,0.0201651323631173,0.027845627747923762,-0.05513307984790872,,0.014696767436213933
2015-04-14,469920,116820,175559,188807,126301,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,497.0,-0.13301413006469187,62506,4.006981879296627,-58739,-3.470378416069944,0.05689795244804956,0.0559479305969307,-0.05513307984790872,0.007545271629778583,,-0.002505783582277507
2015-04-21,455945,123215,183046,184318,118049,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,500.75,-0.14534428494664928,66269,0.8007745999319033,-59831,-0.23237997957099082,0.042137534850033236,0.04532735150737443,0.007545271629778583,-0.058412381427858207,,-0.010602827250421649
2015-04-28,442544,124883,194803,178197,101511,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,471.5,-0.1732844643696446,76686,2.284705392097731,-69920,-2.212766890743401,0.08100948131622979,0.04199433193821437,-0.058412381427858207,-0.01590668080593849,,-0.01973204307131119
2015-05-05,455053,122615,200028,185753,100697,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,464.0,-0.18691449127903784,85056,1.891337358545139,-77413,-1.6931649734263712,0.029219759120265316,0.023223810837365137,-0.01590668080593849,0.03286637931034475,,-0.03095078974815523
2015-05-12,452943,126584,199111,185491,108471,001602,WHEAT-SRW - CHICAGO BOARD OF TRADE,479.25,-0.1700434712535573,77020,-1.7659481423043029,-72527,1.073721083038679,0.02733686666984168,0.015001765455410737,0.03286637931034475,0.0646844027125717,,-0.008512985680487788
